event,applies_to,section,table,date_text,start,end,span_days,source_url
Start,"Term 1 (May – June, 2026)",Term Dates,Term Dates for Summer Session 2026,"Monday, May 11",2026-05-11,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Last day to drop without a W standing through Workday,Courses starting in May,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"May 15, 2026",2026-05-15,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday available for course withdrawals with a W standing,Courses starting in May,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"May 16 – June 5, 2026",2026-05-16,2026-06-05,20,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Last day to drop without a W standing through Workday,Courses Spanning May to August,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"May 25, 2026",2026-05-25,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday available for course withdrawals with a W standing,Courses Spanning May to August,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"May 26 – July 3, 2026",2026-05-26,2026-07-03,38,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday unavailable; Faculty approval required,Courses starting in May,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"After June 5, 2026",2026-06-05,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Finish,"Term 1 (May – June, 2026)",Term Dates,Term Dates for Summer Session 2026,"Thursday, June 18",2026-06-18,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Exams Start,"Term 1 (May – June, 2026)",Term Dates,Term Dates for Summer Session 2026,"Monday, June 22",2026-06-22,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Exams Finish,"Term 1 (May – June, 2026)",Term Dates,Term Dates for Summer Session 2026,"Friday, June 26",2026-06-26,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday unavailable; Faculty approval required,Courses Spanning May to August,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"After July 3, 2026",2026-07-03,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Start,"Term 2 (July – August, 2026)",Term Dates,Term Dates for Summer Session 2026,"Monday, July 6",2026-07-06,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Last day to drop without a W standing through Workday,Courses starting in July,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"July 10, 2026",2026-07-10,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday available for course withdrawals with a W standing,Courses starting in July,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"July 11 – July 31, 2026",2026-07-11,2026-07-31,20,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday unavailable; Faculty approval required,Courses starting in July,Course Drop/Withdrawal Dates,Summer Session: Course Drop/Withdrawal Dates 2026,"After July 31, 2026",2026-07-31,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Finish,"Term 2 (July – August, 2026)",Term Dates,Term Dates for Summer Session 2026,"Thursday, August 13",2026-08-13,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Exams Start,"Term 2 (July – August, 2026)",Term Dates,Term Dates for Summer Session 2026,"Monday, August 17",2026-08-17,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Exams Finish,"Term 2 (July – August, 2026)",Term Dates,Term Dates for Summer Session 2026,"Friday, August 21",2026-08-21,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Start,"Term 1 (September – December, 2026)",Term Dates,Term Dates for Winter Session 2026/27,"Tuesday, September 8",2026-09-08,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Last day to drop without a W standing through Workday,Term 1 Course,Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"September 21, 2026",2026-09-21,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday available for course withdrawals with a W standing,Term 1 Course,Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"September 22 – October 30, 2026",2026-09-22,2026-10-30,38,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Last day to drop without a W standing through Workday,Full-year course (Terms 1 and 2),Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"September 28, 2026",2026-09-28,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday available for course withdrawals with a W standing,Full-year course (Terms 1 and 2),Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"September 29 – November 27, 2026",2026-09-29,2026-11-27,59,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday unavailable; Faculty approval required,Term 1 Course,Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"After October 30, 2026",2026-10-30,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Midterm Break,"Term 1 (September – December, 2026)",Term Dates,Term Dates for Winter Session 2026/27,November 9 – 111,2026-11-09,2026-11-11,2,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday unavailable; Faculty approval required,Full-year course (Terms 1 and 2),Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"After November 27, 2026",2026-11-27,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Finish,"Term 1 (September – December, 2026)",Term Dates,Term Dates for Winter Session 2026/27,"Monday, December 7",2026-12-07,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Exams Start,"Term 1 (September – December, 2026)",Term Dates,Term Dates for Winter Session 2026/27,"Friday, December 11",2026-12-11,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Exams Finish,"Term 1 (September – December, 2026)",Term Dates,Term Dates for Winter Session 2026/27,"Tuesday, December 22",2026-12-22,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Start,"Term 2 (January – April, 2027)",Term Dates,Term Dates for Winter Session 2026/27,"Tuesday, January 5",2027-01-05,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Last day to drop without a W standing through Workday,Term 2 Course,Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"January 18, 2027",2027-01-18,,,https://vancouver.calendar.ubc.ca/dates-and-deadlines
Student self-service in Workday available for course withdrawals with a W standing,Term 2 Course,Course Drop/Withdrawal Dates,Winter Session: Course Drop/Withdrawal Dates 2026/27,"January 19 – March 5, 2027",2027-01-19,2027-03-05,45,https://vancouver.calendar.ubc.ca/dates-and-deadlines
