term_id,name,slug,taxonomy
2061173936,Bachelor of Applied Science (Engineering),bachelor-of-applied-science,degree
3151486684,Bachelor of Arts,bachelor-of-arts,degree
3631842349,Bachelor of Commerce,bachelor-of-commerce,degree
2410736660,Bachelor of Computer Science,bachelor-of-computer-science,degree
3349886845,Bachelor of Dental Science,bachelor-of-dental-science,degree
3635038500,"Bachelor of Design in Architecture, Landscape Architecture, and Urbanism",bachelor-of-design-in-architecture-landscape-architecture-urbanism,degree
351256912,Bachelor of Education,bachelor-of-education,degree
2718097467,Bachelor of Fine Arts,bachelor-of-fine-arts,degree
538457045,Bachelor of Health and Exercise Sciences (Kinesiology),bachelor-of-health-and-exercise-sciences-kinesiology,degree
3299506018,Bachelor of Indigenous Land Stewardship,bachelor-of-indigenous-land-stewardship,degree
4200618361,Bachelor of International Economics,bachelor-of-international-economics,degree
3322079241,Bachelor of Kinesiology,bachelor-of-kinesiology,degree
877900534,Bachelor of Media Studies,bachelor-of-media-studies,degree
1475458738,Bachelor of Medical Laboratory Science,bachelor-of-medical-laboratory-science,degree
3735190584,Bachelor of Midwifery,bachelor-of-midwifery,degree
3773949241,Bachelor of Music,bachelor-of-music,degree
359151942,Bachelor of NłeɁkepmx Language Fluency,bachelor-of-nle%c9%82kepmx-language-fluency,degree
555219920,Bachelor of Nsyilxcn Language Fluency,bachelor-of-nsyilxcn-language-fluency,degree
3417730641,Bachelor of Pharmaceutical Sciences,bachelor-of-pharmaceutical-sciences,degree
2228041040,Bachelor of Science,bachelor-of-science,degree
786632702,Bachelor of Science in Applied Biology,bachelor-of-science-in-applied-biology,degree
717687973,Bachelor of Science in Food and Resource Economics,bachelor-of-science-in-food-and-resource-economics,degree
3989580303,"Bachelor of Science in Food, Nutrition, and Health",bachelor-of-science-in-food-nutrition-and-health,degree
2438908168,Bachelor of Science in Global Resource Systems,bachelor-of-science-in-global-resource-systems,degree
1333869920,Bachelor of Science in Natural Resources,bachelor-of-science-in-natural-resources,degree
1897306707,Bachelor of Science in Nursing,bachelor-of-science-in-nursing,degree
2849400523,Bachelor of Science in Wood Products Processing,bachelor-of-science-in-wood-products-processing,degree
1498669825,Bachelor of Social Work,bachelor-of-social-work,degree
1659824635,Bachelor of St’át’imc Language Fluency,bachelor-of-statimc-language-fluency,degree
1555367783,Bachelor of Sustainability,bachelor-of-sustainability,degree
1100830481,Bachelor of Urban Forestry,bachelor-of-urban-forestry,degree
2351954074,Doctor of Dental Medicine,doctor-of-dental-medicine,degree
1508390991,Doctor of Medicine,doctor-of-medicine,degree
565541134,Doctor of Pharmacy,doctor-of-pharmacy,degree
206431322,Juris Doctor,juris-doctor,degree
2848604925,Master of Architecture,master-of-architecture,degree
3548287224,Master of Journalism,master-of-journalism,degree
2354979977,Master of Management,master-of-management,degree
