term_id,name,slug,taxonomy
3948976845,Acting,acting,interests
3985172586,Animals,animals,interests
3779456605,Animation,animation,interests
795810186,Art,art,interests
4106025904,Artificial Intelligence (AI),artificial-intelligence-ai,interests
1258829586,Baking and cooking,baking-cooking,interests
1433875987,Bird or wildlife watching,bird-wildlife-watching,interests
3212285637,Building and fixing things,building-fixing-things,interests
4207031876,Camping,camping,interests
2605208591,Chess,chess,interests
3941838386,Computers and coding,computers-coding,interests
1979775749,"Cosplay, character building or world building",cosplay-character-building-world-building,interests
4055149110,Crafts,crafts,interests
4162136220,Dance,dance,interests
1909469088,Debate,debate,interests
4214343119,Design,design,interests
296644452,Digital arts,digital-arts,interests
3497688324,Drawing and painting,drawing-painting,interests
1909354164,Entrepreneurship,entrepreneurship,interests
3151545924,Environmental action,environmental-action,interests
3541596877,Exploring cultures,exploring-cultures,interests
2500499319,Fitness,fitness,interests
1028682697,Food,food,interests
2904271204,Gardening,gardening,interests
3957134255,Gender and sexuality,gender-sexuality,interests
1437986676,Going for walks,going-for-walks,interests
501643338,Helping people,helping-people,interests
2769514293,Hiking,hiking,interests
1248952799,History,history,interests
1825348589,How the body works,how-the-body-works,interests
1481580292,Human behaviour,human-behaviour,interests
3714169496,Indigenous culture and history,indigenous-culture-history,interests
1192414939,Inventing things,inventing-things,interests
1030157987,Leadership and volunteering,leadership-volunteering,interests
342941353,Learning languages,learning-languages,interests
1948821596,Marine life,marine-life,interests
629128180,Movies,movies,interests
2677821396,Music,music,interests
2790669962,Nature,nature,interests
376630936,Photography,photography,interests
4181312913,Planning and organizing,planning-organizing,interests
2876509881,Playing an instrument,playing-instrument,interests
1640973582,Politics,politics,interests
3461931775,Pop culture,pop-culture,interests
3496947283,Pottery and textiles,pottery-textiles,interests
460031769,Problem solving,problem-solving,interests
4083978177,Public speaking,public-speaking,interests
582946604,Puzzles and games,puzzles-games,interests
775837691,Reading,reading,interests
3068714876,Reasoning behind things,reasoning-behind-things,interests
3235814191,Rock and gem collecting,rock-gem-collecting,interests
2461791673,Running experiments,running-experiments,interests
346360044,Singing and songwriting,singing-songwriting,interests
444110842,Social justice,social-justice,interests
1486153115,Social media,social-media,interests
894689925,Space,space,interests
2644274870,Spirituality and religion,spirituality-religion,interests
546992826,Sports,sports,interests
514922210,Teaching people,teaching-people,interests
1418100143,Technology,technology,interests
4114175820,Theatre,theatre,interests
3865147129,Travel,travel,interests
3015131076,Visiting museums,visiting-museums,interests
4213596847,Website design,website-design,interests
1731601707,Woodworking,woodworking,interests
3748041039,Writing,writing,interests
