id,post_title,link,summary,is_new,campuses,degrees,topics,interests
149486,Ancient Mediterranean and Near Eastern Studies,https://you.ubc.ca/programs/ancient-mediterranean-near-eastern-studies/,"Learn about the culture, history, and mythology of the ancient Mediterranean world, explore world religions in a comparative context, and investigate the history and material culture of the ancient Near East and ancient Egypt.",False,[1710814996],[3151486684],"[3571831894, 2532969046]","[3541596877, 1248952799, 775837691, 2644274870]"
543,Anthropology,https://you.ubc.ca/programs/anthropology-vancouver/,"Examine processes of social and cultural life in human societies past and present, near and far. Anthropology will prepare you for a diverse range of careers, including medical researcher, consultant to governmental and community organizations,…",False,[1710814996],[3151486684],[2532969046],"[3541596877, 1248952799, 3714169496, 3865147129, 3015131076]"
545,Applied Animal Biology,https://you.ubc.ca/programs/applied-animal-biology/,"Study the fundamentals of animal behaviour, animal physiology, and examine related fields as they apply to farm, companion, and other animals. You’ll learn about the role of animals in human society and the ethical, environmental,…",False,[1710814996],[786632702],[1166637932],"[3985172586, 3151545924, 2790669962]"
539,Archaeology,https://you.ubc.ca/programs/archaeology/,"Learn about world archaeology – from the emergence of humankind to the beginning of state societies – and examine the beginnings of the economic, social, political, and artistic traditions and systems of the great civilizations. You can…",False,[1710814996],[3151486684],"[2863626295, 2532969046]","[3541596877, 1248952799, 2644274870, 3865147129, 3015131076]"
551,Architecture,https://you.ubc.ca/programs/architecture/,"The Master of Architecture is a professional graduate degree, leading to certification with the Canadian Architectural Certification Board. It is a highly demanding three-year program that includes design studios alongside courses in history and theory,…",False,[1710814996],[2848604925],[1785411973],"[3212285637, 4214343119, 1192414939, 460031769, 1731601707]"
549241,"Architecture, Landscape Architecture, and Urbanism",https://you.ubc.ca/programs/architecture-landscape-architecture-and-urbanism/,"Take your passion for design and urban environments to the next level in UBC’s Design in Architecture, Landscape Architecture, and Urbanism program. Through small studios and intimate seminars, you’ll learn how design impacts society and…",False,[1710814996],[3635038500],"[2863626295, 2532969046]","[3212285637, 4214343119, 1909354164, 4213596847, 1731601707]"
557,Art History,https://you.ubc.ca/programs/art-history/,"Examine a wide range of art historical periods and topics, as well as critical theories, while taking into account the constantly extending reach of visual studies in a globalized world. Many fields connect and inform…",False,[1710814996],[3151486684],[653776851],"[795810186, 3541596877, 1248952799, 775837691, 2644274870]"
552362,Asian Area Studies,https://you.ubc.ca/programs/asian-area-studies/,"Gain a deeper understanding of Asian cultures while you study history, literary and religious traditions, languages, as well as gender relations. You’ll choose from diverse courses such as “Asian Horror Cinema: National Nightmares and Specters…",False,[1710814996],[3151486684],"[3571831894, 2532969046]","[3541596877, 1248952799, 629128180, 2644274870]"
561,Asian Language and Culture,https://you.ubc.ca/programs/asian-language-culture/,Asian Language and Culture is designed to give you the linguistic and cultural capital to work as a leader in the 21st century on the Canada-Asia interface. This program combines advanced language study with a…,False,[1710814996],[3151486684],"[3063730439, 2532969046]","[3541596877, 1248952799, 342941353, 1640973582, 3461931775]"
552202,Astronomy,https://you.ubc.ca/programs/astronomy/,"Astronomers and physicists study the material world and the energy that drives it, from the smallest particles like neutrinos and Higgs bosons to the very largest structures in the universe, and ultimately the universe itself. This…",False,[1710814996],[2228041040],[3669867392],[894689925]
565,Atmospheric Science,https://you.ubc.ca/programs/atmospheric-science/,"Atmospheric Science is the study of weather and climate. This highly interdisciplinary specialization focuses on meteorological fields including air quality, environment, climate change, weather monitoring &amp; instrumentation, and consulting.",True,[1710814996],[2228041040],[2863626295],"[3151545924, 2769514293, 2790669962, 894689925, 1418100143]"
144977,Bachelor + Master of Management Dual Degree,https://you.ubc.ca/programs/master-management-dual-degree/,"Pursue an undergraduate subject you’re passionate about and get a postgraduate qualification from one of the world’s most prestigious business schools. You’ll study subjects like accounting, finance, marketing, and strategic management, and get personalized professional development…",False,[1710814996],"[3151486684, 2718097467, 3322079241, 877900534, 3773949241, 2228041040, 786632702, 717687973, 3989580303, 2438908168, 2849400523, 2354979977]",[2016182884],"[1909354164, 501643338, 1481580292, 1030157987]"
571,Biochemistry,https://you.ubc.ca/programs/biochemistry/,"Biochemistry is the study of the chemical processes occurring in living matter, a discipline which encompasses an incredibly diverse field of research that touches nearly all aspects of our lives. Biochemists are working in areas…",False,[1710814996],[2228041040],"[1166637932, 3669867392]","[3151545924, 1825348589, 1192414939]"
560275,Bioeconomy Sciences and Technology,https://you.ubc.ca/programs/bioeconomy-sciences-technology/,"Canada is well-positioned to seize opportunities in the emerging bioeconomy because of its global leadership in forestry and agriculture, access to biomass, and skilled workforce. The Bioeconomy Sciences and Technology is the country&#8217;s first comprehensive…",False,[1710814996],[1333869920],"[2016182884, 2863626295, 1785411973]","[1433875987, 4207031876, 3151545924, 2790669962, 1418100143]"
575,Biology,https://you.ubc.ca/programs/biology-vancouver/,"Study all aspects of living things and their processes as you learn about the fundamental concepts in Biology. You’ll have a diverse range of courses to choose from, providing insight into the various sub-disciplines such…",False,[1710814996],[2228041040],[1166637932],"[3985172586, 3151545924, 1825348589]"
560541,Biomedical Engineering,https://you.ubc.ca/programs/biomedical-engineering/,"Learn how to apply engineering principles and design to medicine and biology for healthcare purposes in Biomedical Engineering. You&#8217;ll start by building a foundation in biomechanics and biomaterials, cellular and molecular bioengineering, biomedical systems and…",False,[1710814996],[2061173936],"[1785411973, 1166637932]","[3212285637, 2605208591, 4214343119]"
577,Biophysics,https://you.ubc.ca/programs/biophysics/,"Study life at every level, from atoms and molecules to cells, organisms, and environments, while you look for and analyze patterns. You’ll also gain an understanding of the basic concepts and quantitative skills of physics.…",False,[1710814996],[2228041040],"[1166637932, 3669867392]","[1825348589, 460031769, 1418100143]"
579,Biotechnology,https://you.ubc.ca/programs/biotechnology/,Enjoy hands-on laboratory training and high-calibre foundational courses as you learn about scientific manipulation of living organisms. This program equips you with current scientific and technical expertise and the business and communication skills to start…,False,[1710814996],[2228041040],[1166637932],"[1825348589, 460031769, 1418100143]"
