taxonomy,term_id,slug,name
requirement_countries,547,argentina,Argentina
requirement_countries,546,australia,Australia
requirement_countries,760,austria,Austria
requirement_countries,804,azerbaijan,Azerbaijan
requirement_countries,544,bahamas,Bahamas
requirement_countries,759,bahrain,Bahrain
requirement_countries,758,bangladesh,Bangladesh
requirement_countries,560,barbados,Barbados
requirement_countries,549,basic,Basic
requirement_countries,561,belize,Belize
requirement_countries,541,bermuda,Bermuda
requirement_countries,540,bolivia,Bolivia
requirement_countries,757,botswana,Botswana
requirement_countries,708,brazil,Brazil
requirement_countries,562,british-virgin-islands,British Virgin Islands
requirement_countries,552,brunei,Brunei
requirement_countries,553,cameroon,Cameroon - British
requirement_countries,583,cameroon-french,Cameroon - French
requirement_countries,563,cayman-islands,Cayman Islands
requirement_countries,756,chile,Chile
requirement_countries,537,china-2,China
requirement_countries,536,colombia,Colombia
requirement_countries,755,costa-rica,Costa Rica
requirement_countries,754,czech-republic,Czech Republic
requirement_countries,753,denmark,Denmark
requirement_countries,564,dominica,Dominica
requirement_countries,752,ecuador,Ecuador
requirement_countries,531,egypt-11-years-of-education,Egypt – 11 Years of Education
requirement_countries,550,egypt,Egypt – 12 Years of Education
requirement_countries,751,el-salvador,El Salvador
requirement_countries,750,ethiopia,Ethiopia
requirement_countries,749,finland,Finland
requirement_countries,748,france,France (French Baccalaureate)
requirement_countries,747,germany,Germany
requirement_countries,746,ghana,Ghana
requirement_countries,554,gibraltar,Gibraltar
requirement_countries,524,greece,Greece
requirement_countries,565,grenada,Grenada
requirement_countries,694,guatemala,Guatemala
requirement_countries,566,guyana,Guyana
requirement_countries,671,honduras,Honduras
requirement_countries,551,hong-kong,Hong Kong
requirement_countries,745,india,India
requirement_countries,744,indonesia,Indonesia
requirement_countries,520,iran,Iran
requirement_countries,519,ireland,Ireland
requirement_countries,803,israel,Israel
requirement_countries,518,italy,Italy
requirement_countries,761,jamaica,Jamaica
requirement_countries,743,japan,Japan
requirement_countries,742,jordan,Jordan
requirement_countries,741,kazakhstan,Kazakhstan
requirement_countries,740,kenya,Kenya
requirement_countries,739,kuwait,Kuwait
requirement_countries,512,lebanon,Lebanon
requirement_countries,555,lesotho,Lesotho
requirement_countries,798,liberia,Liberia
requirement_countries,556,macao,Macao
requirement_countries,801,malawi,Malawi
requirement_countries,511,malaysia,Malaysia
requirement_countries,557,mauritius,Mauritius
requirement_countries,738,mexico,Mexico
requirement_countries,1317,mongolia,Mongolia
requirement_countries,568,montserrat,Montserrat
requirement_countries,509,morocco,Morocco
requirement_countries,558,namibia,Namibia
requirement_countries,508,netherlands,Netherlands
requirement_countries,507,new-zealand,New Zealand
requirement_countries,582,nigeria,Nigeria
requirement_countries,737,norway,Norway
requirement_countries,736,oman,Oman
requirement_countries,504,pakistan,Pakistan
requirement_countries,735,panama,Panama
requirement_countries,734,peru,Peru
requirement_countries,501,philippines,Philippines
requirement_countries,733,poland,Poland
requirement_countries,732,qatar,Qatar
requirement_countries,731,russia,Russia
requirement_countries,691,rwanda,Rwanda
requirement_countries,569,saint-kitts-and-nevis,Saint Kitts and Nevis
requirement_countries,570,saint-lucia,Saint Lucia
requirement_countries,571,saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines
requirement_countries,730,saudi-arabia,Saudi Arabia
requirement_countries,496,scotland,Scotland
requirement_countries,559,seychelles,Seychelles
requirement_countries,928,sierra-leone,Sierra Leone
requirement_countries,495,singapore,Singapore
requirement_countries,729,south-africa,South Africa
requirement_countries,695,south-korea,South Korea
requirement_countries,728,spain,Spain
requirement_countries,492,sri-lanka,Sri Lanka
requirement_countries,727,sweden,Sweden
requirement_countries,704,switzerland,Switzerland
requirement_countries,490,syria,Syria
requirement_countries,726,taiwan,Taiwan
requirement_countries,702,tanzania,Tanzania
requirement_countries,714,thailand,Thailand
requirement_countries,799,the-gambia,The Gambia
requirement_countries,488,trinidad-tobago,Trinidad and Tobago
requirement_countries,487,tunisia,Tunisia
requirement_countries,697,turkey,Turkey
requirement_countries,572,turks-and-caicos-islands,Turks and Caicos Islands
requirement_countries,725,uganda,Uganda
requirement_countries,485,ukraine,Ukraine
requirement_countries,724,united-arab-emirates,United Arab Emirates
requirement_countries,762,united-kingdom,United Kingdom (British-patterned education)
requirement_countries,700,united-states,United States (American curriculum)
requirement_countries,483,venezuela,Venezuela
requirement_countries,723,vietnam,Vietnam
requirement_countries,800,zambia,Zambia
requirement_countries,722,zimbabwe,Zimbabwe
requirement_province,711,alberta,Alberta
requirement_province,796,basic,Basic
requirement_province,686,british-columbia,British Columbia
requirement_province,706,manitoba,Manitoba
requirement_province,763,new-brunswick,New Brunswick
requirement_province,589,newfoundland-labrador,Newfoundland &amp; Labrador
requirement_province,764,northwest-territories,Northwest Territories
requirement_province,765,nova-scotia,Nova Scotia
requirement_province,766,nunavut,Nunavut
requirement_province,716,ontario,Ontario
requirement_province,767,prince-edward-island,Prince Edward Island
requirement_province,768,quebec,Quebec
requirement_province,769,saskatchewan,Saskatchewan
requirement_province,720,yukon,Yukon
requirement_ib,,ib-diploma,International Baccalaureate
