program_id,program,degrees,url,campus,requirement_key,has_requirements,note
149486,Ancient Mediterranean and Near Eastern Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/ancient-mediterranean-near-eastern-studies/,vancouver,arts,True,
543,Anthropology,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/anthropology-vancouver/,vancouver,arts,True,
545,Applied Animal Biology,"[""Bachelor of Science in Applied Biology""]",https://you.ubc.ca/ubc_programs/applied-animal-biology/,vancouver,applied-biology,True,
539,Archaeology,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/archaeology/,vancouver,arts,True,
551,Architecture,"[""Master of Architecture""]",https://you.ubc.ca/ubc_programs/architecture/,,,False,no requirements widget on the program page
549241,"Architecture, Landscape Architecture, and Urbanism","[""Bachelor of Design in Architecture, Landscape Architecture, and Urbanism""]",https://you.ubc.ca/ubc_programs/architecture-landscape-architecture-and-urbanism/,vancouver,design-in-architecture-landscape-architecture-and-urbanism,True,
557,Art History,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/art-history/,vancouver,arts,True,
552362,Asian Area Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/asian-area-studies/,vancouver,arts,True,
561,Asian Language and Culture,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/asian-language-culture/,vancouver,arts,True,
552202,Astronomy,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/astronomy/,vancouver,science-2,True,
565,Atmospheric Science,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/atmospheric-science/,vancouver,science-2,True,
144977,Bachelor + Master of Management Dual Degree,"[""Bachelor of Arts"", ""Bachelor of Fine Arts"", ""Bachelor of Kinesiology"", ""Bachelor of Media Studies"", ""Bachelor of Music"", ""Bachelor of Science"", ""Bachelor of Science in Applied Biology"", ""Bachelor of Science in Food and Resource Economics"", ""Bachelor of Science in Food, Nutrition, and Health"", ""Bachelor of Science in Global Resource Systems"", ""Bachelor of Science in Wood Products Processing"", ""Master of Management""]",https://you.ubc.ca/ubc_programs/master-management-dual-degree/,vancouver,bachelor-master-management,True,
571,Biochemistry,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/biochemistry/,vancouver,science-2,True,
560275,Bioeconomy Sciences and Technology,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/ubc_programs/bioeconomy-sciences-technology/,vancouver,natural-resources,True,
575,Biology,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/biology-vancouver/,vancouver,science-2,True,
560541,Biomedical Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/biomedical-engineering/,vancouver,engineering,True,
577,Biophysics,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/biophysics/,vancouver,science-2,True,
579,Biotechnology,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/biotechnology/,vancouver,science-2,True,
581,Business and Computer Science,"[""Bachelor of Commerce""]",https://you.ubc.ca/ubc_programs/business-computer-science/,vancouver,commerce,True,
570973,Business and Markets,"[""Bachelor of Science in Food and Resource Economics""]",https://you.ubc.ca/ubc_programs/business-and-markets/,vancouver,food-and-resource-economics,True,
589,Canadian Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/canadian-studies/,vancouver,arts,True,
945,"Cellular, Anatomical, and Physiological Sciences","[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/cellular-anatomical-physiological-sciences/,vancouver,science-2,True,
83801,Chemical Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/chemical-engineering/,vancouver,engineering,True,
593,Chemical and Biological Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/chemical-biological-engineering/,vancouver,engineering,True,
597,Chemistry,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/chemistry-vancouver/,vancouver,science-2,True,
693,Cinema Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/cinema-studies/,vancouver,arts,True,
601,Civil Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/civil-engineering-vancouver/,vancouver,engineering,True,
607,Cognitive Systems (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/cognitive-systems-ba/,vancouver,arts,True,
609,Cognitive Systems (BSc),"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/cognitive-systems-bsc/,vancouver,science-2,True,
979,Combined Major in Science,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/science-combined-major/,vancouver,science-2,True,
161502,Combined Majors in Statistics,"[""Bachelor of Arts"", ""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/statistics-combined-majors/,vancouver,science-2,True,
551378,Commerce,"[""Bachelor of Commerce""]",https://you.ubc.ca/ubc_programs/commerce/,vancouver,commerce,True,
615,Computer Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/computer-engineering/,vancouver,engineering,True,
621,Computer Science (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/computer-science-vancouver-ba/,vancouver,arts,True,
623,Computer Science (BSc),"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/computer-science-vancouver-bsc/,vancouver,science-2,True,
905,Conservation,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/ubc_programs/conservation/,vancouver,natural-resources,True,
629,Creative Writing,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/ubc_programs/creative-writing-vancouver/,,,False,no requirements widget on the program page
570977,Data Analytics,"[""Bachelor of Science in Food and Resource Economics""]",https://you.ubc.ca/ubc_programs/data-analytics/,vancouver,food-and-resource-economics,True,
577276,Data Science,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/data-science-vancouver/,vancouver,science-2,True,
637,Dental Hygiene,"[""Bachelor of Dental Science""]",https://you.ubc.ca/ubc_programs/dental-hygiene/,vancouver,dental-hygiene,True,
639,Dentistry,"[""Doctor of Dental Medicine""]",https://you.ubc.ca/ubc_programs/dentistry/,,,False,no requirements widget on the program page
641,Dietetics,"[""Bachelor of Science in Food, Nutrition, and Health""]",https://you.ubc.ca/ubc_programs/dietetics/,vancouver,food-nutrition-health,True,
647,Earth and Ocean Sciences,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/earth-ocean-sciences/,vancouver,science-2,True,
655,Economics,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/economics-vancouver/,vancouver,arts,True,
869,Education: Elementary and Middle Years,"[""Bachelor of Education""]",https://you.ubc.ca/ubc_programs/education-elementary-middle-years/,,,False,no requirements widget on the program page
901,Education: Indigenous Teacher Education Program (NITEP),"[""Bachelor of Education""]",https://you.ubc.ca/ubc_programs/education-nitep/,vancouver,indigenous-teacher-education-program-nitep,True,
546362,Education: International Baccalaureate,"[""Bachelor of Education""]",https://you.ubc.ca/ubc_programs/education-ib/,,,False,no requirements widget on the program page
985,Education: Secondary,"[""Bachelor of Education""]",https://you.ubc.ca/ubc_programs/education-secondary/,,,False,no requirements widget on the program page
1035,Education: West Kootenay Teacher Education Program (WKTEP),"[""Bachelor of Education""]",https://you.ubc.ca/ubc_programs/education-wktep/,,,False,no requirements widget on the program page
663,Electrical Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/electrical-engineering-vancouver/,vancouver,engineering,True,
667,Engineering Physics,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/engineering-physics/,vancouver,engineering,True,
671,English,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/english-vancouver/,vancouver,arts,True,
562723,Environmental Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/engineering-environmental/,vancouver,engineering,True,
683,Environmental Engineering (joint UNBC/UBC),"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/environmental-engineering-joint-unbc-ubc/,vancouver,engineering,True,
685,Environmental Sciences,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/environmental-sciences/,vancouver,science-2,True,
691,Film Production,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/ubc_programs/film-production/,vancouver,fine-arts,True,
697,First Nations and Endangered Languages,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/first-nations-endangered-languages/,vancouver,arts,True,
699,First Nations and Indigenous Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/first-nations-indigenous-studies/,vancouver,arts,True,
552201,Food Science,"[""Bachelor of Science in Food, Nutrition, and Health""]",https://you.ubc.ca/ubc_programs/food-science/,vancouver,food-nutrition-health,True,
703,Food and Nutritional Sciences,"[""Bachelor of Science in Food, Nutrition, and Health""]",https://you.ubc.ca/ubc_programs/food-nutritional-sciences/,vancouver,food-nutrition-health,True,
709,"Food, Nutrition, and Health","[""Bachelor of Science in Food, Nutrition, and Health""]",https://you.ubc.ca/ubc_programs/food-nutrition-and-health/,vancouver,food-nutrition-health,True,
569489,Forest Management,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/ubc_programs/forest-management/,vancouver,natural-resources,True,
711,Forest Operations,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/ubc_programs/forest-operations/,vancouver,natural-resources,True,
715,Forest Sciences,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/ubc_programs/forest-sciences/,vancouver,natural-resources,True,
721,French,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/french-vancouver/,vancouver,arts,True,
1037,"Gender, Race, Sexuality, and Social Justice","[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/gender-race-sexuality-social-justice/,vancouver,arts,True,
739,Geographical Sciences,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/geographical-sciences/,vancouver,science-2,True,
