id,type,nid,status,title,created,changed,alias,body,field_location_address,field_location_bike_cage,field_location_disabled_parking,field_location_elevator,field_location_ev_station,field_location_fs_permit,field_location_grad_permit,field_location_height_clearance,field_location_highlight,field_location_hours_day,field_location_hours_pm,field_location_id,field_location_lot_id,field_location_map_location,field_location_motorcycle,field_location_nearby_info,field_location_rate,field_location_rate_holiday,field_location_rate_pm,field_location_rez_permit,field_location_undergrad_permit,related
eee70e79-1868-4510-b96b-796689dfae9e,node--parking_location,2169,True,Ritsumeikan Lot,2017-10-03T17:09:10+00:00,2024-06-11T21:36:05+00:00,/ritsumeikan-lot,"{""value"": ""No Public Parking; visitors should use B4 Lot or West Parkade"", ""format"": ""filtered_text"", ""processed"": ""No Public Parking; visitors should use B4 Lot or West Parkade"", ""summary"": null}",,False,False,False,False,False,False,,False,,,2174,5648,"{""value"": ""POINT (-123.25340005517 49.259703603094)"", ""geo_type"": ""Point"", ""lat"": 49.259703603094, ""lon"": -123.25340005517, ""left"": -123.25340005517, ""top"": 49.259703603094, ""right"": -123.25340005517, ""bottom"": 49.259703603094, ""geohash"": ""c2b25r3wed7cb0r8"", ""latlon"": ""49.259703603094,-123.25340005517""}",False,"{""value"": ""Residential Parking Lot for Ritsumeikan and Vantage College "", ""format"": ""filtered_text"", ""processed"": ""Residential Parking Lot for Ritsumeikan and Vantage College""}",,,,True,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
1621ad84-2824-4bed-9c6c-917e7a680071,node--parking_location,2119,True,ACU Lot,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/acu-lot,"{""value"": ""Short term acute care parking only"", ""format"": ""filtered_text"", ""processed"": ""Short term acute care parking only"", ""summary"": null}",,False,True,False,False,False,False,,False,6:00 AM - 6:00 PM,6:00 PM - 6:00 AM,2152,5675,"{""value"": ""POINT (-123.24470294613 49.264811761074)"", ""geo_type"": ""Point"", ""lat"": 49.264811761074, ""lon"": -123.24470294613, ""left"": -123.24470294613, ""top"": 49.264811761074, ""right"": -123.24470294613, ""bottom"": 49.264811761074, ""geohash"": ""c2b272ruq68c176y"", ""latlon"": ""49.264811761074,-123.24470294613""}",True,"{""value"": ""Entrance to UBC Hospital"", ""format"": ""filtered_text"", ""processed"": ""Entrance to UBC Hospital""}",$2.25 for 1/2 hr - Max 2 hours,Same as Day Rate,Same as Day Rate,False,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
99405aa3-7316-481a-815b-305e784f982f,node--parking_location,2103,True,Stadium Lot,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/stadium-lot,"{""value"": ""Check our events listings to ensure lot isn't closed!"", ""format"": ""filtered_text"", ""processed"": ""Check our events listings to ensure lot isn't closed!"", ""summary"": null}",,False,True,False,False,True,False,,False,12:00 AM - 11:59 PM,,2178,5630,"{""value"": ""POINT (-123.24512015967 49.255532375325)"", ""geo_type"": ""Point"", ""lat"": 49.255532375325, ""lon"": -123.24512015967, ""left"": -123.24512015967, ""top"": 49.255532375325, ""right"": -123.24512015967, ""bottom"": 49.255532375325, ""geohash"": ""c2b25qxwk89xqjr9"", ""latlon"": ""49.255532375325,-123.24512015967""}",False,"{""value"": ""Parking at Thunderbird Stadium"", ""format"": ""filtered_text"", ""processed"": ""Parking at Thunderbird Stadium""}",$4.50 per hr Max $11.00,Same as Day Rate,Same as Day Rate,False,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
389e5576-21a5-4be8-b9e1-a2ff64b4d905,node--parking_location,2099,True,C2 Lot,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/c2-lot,,,False,True,False,False,False,False,N/A,False,6:00 AM - 6:00 PM,6:00 PM - 6:00 AM,2163,5627,"{""value"": ""POINT (-123.24539470464 49.261066823787)"", ""geo_type"": ""Point"", ""lat"": 49.261066823787, ""lon"": -123.24539470464, ""left"": -123.24539470464, ""top"": 49.261066823787, ""right"": -123.24539470464, ""bottom"": 49.261066823787, ""geohash"": ""c2b25rxqw0kvxmfy"", ""latlon"": ""49.261066823787,-123.24539470464""}",True,"{""value"": ""Near Life Sciences , Applied Sciences District and TEF 3"", ""format"": ""filtered_text"", ""processed"": ""Near Life Sciences , Applied Sciences District and TEF 3""}",$2.25 for 1/2 hr - Max $22 23:59,$2.25 for 1/2 hr - Max $11 23:59,$2.25 for 1/2 hr - Max $11 6AM,False,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
af56524e-0fc0-47c1-91c0-bc78ab4dad7c,node--parking_location,2097,True,North Parkade,2017-10-03T17:09:10+00:00,2026-03-20T18:06:05+00:00,/north-parkade,"{""value"": ""Short-term stalls available for pool and gym visitors.  NO ELEVATOR ON SITE"", ""format"": ""filtered_text"", ""processed"": ""Short-term stalls available for pool and gym visitors.  NO ELEVATOR ON SITE"", ""summary"": null}",6115 Student Union Boulevard V6T 1Z1,False,True,False,True,True,True,"6'5"" or 1.96 M",True,6:00 AM - 6:00 PM,6:00 PM - 6:00 AM,2170,5667,"{""value"": ""POINT (-123.25048728892 49.268826497507)"", ""geo_type"": ""Point"", ""lat"": 49.268826497507, ""lon"": -123.25048728892, ""left"": -123.25048728892, ""top"": 49.268826497507, ""right"": -123.25048728892, ""bottom"": 49.268826497507, ""geohash"": ""c2b2735exqztvw1m"", ""latlon"": ""49.268826497507,-123.25048728892""}",True,"{""value"": ""Near Brock Hall, Gage Residence, Nest and Aquatic Centre"", ""format"": ""filtered_text"", ""processed"": ""Near Brock Hall, Gage Residence, Nest and Aquatic Centre""}",$2.25 for 1/2 hr - Max $22 23:59,$2.25 for 1/2 hr - Max $11 23:59,$2.25 for 1/2 hr - Max $11 6AM,True,True,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
1a984da9-acc3-42ad-a2bc-251dbbc5096f,node--parking_location,2181,True,Fairview Crescent,2017-10-03T17:09:10+00:00,2026-02-20T22:51:05+00:00,/fairview-crescent,"{""value"": ""Easy access to Acadia Park and Fairview for visitors"", ""format"": ""filtered_text"", ""processed"": ""Easy access to Acadia Park and Fairview for visitors"", ""summary"": null}",,False,False,False,False,False,False,,False,,,2120,5613,"{""value"": ""POINT (-123.23960678513 49.262577129055)"", ""geo_type"": ""Point"", ""lat"": 49.262577129055, ""lon"": -123.23960678513, ""left"": -123.23960678513, ""top"": 49.262577129055, ""right"": -123.23960678513, ""bottom"": 49.262577129055, ""geohash"": ""c2b25xgxm1bz02r2"", ""latlon"": ""49.262577129055,-123.23960678513""}",True,"{""value"": ""Permit and Visitor parking at Fairview Residence"", ""format"": ""filtered_text"", ""processed"": ""Permit and Visitor parking at Fairview Residence""}",Check Honk Mobile for Rates,Same as Day Rate,Same as Day Rate,True,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
67b01f23-ef91-4d83-9b96-1774f0c1cbac,node--parking_location,2187,True,Strangway Pay Lot,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/strangway-pay-lot,,,False,True,True,False,False,False,,False,6:00 AM - 6:00 PM,6:00 PM - 6:00 AM,2209,5655,"{""value"": ""POINT (-123.24607564886 49.265779860968)"", ""geo_type"": ""Point"", ""lat"": 49.265779860968, ""lon"": -123.24607564886, ""left"": -123.24607564886, ""top"": 49.265779860968, ""right"": -123.24607564886, ""bottom"": 49.265779860968, ""geohash"": ""c2b272wcyr10p3s1"", ""latlon"": ""49.265779860968,-123.24607564886""}",False,"{""value"": ""Close to Dentistry, Family Practice and University Boulevard"", ""format"": ""filtered_text"", ""processed"": ""Close to Dentistry, Family Practice and University Boulevard""}",$2.25 for 1/2 hr - Max $22 23:59,$2.25 for 1/2 hr - Max $11 23:59,$2.25 for 1/2 hr - Max $11 6AM,False,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
db569bc7-d7b0-459d-b96a-5baa1948182b,node--parking_location,2165,True,Osborne Lot,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/osborne-lot,"{""value"": ""Very busy location, we recommend using Thunderbird Parkade"", ""format"": ""filtered_text"", ""processed"": ""Very busy location, we recommend using Thunderbird Parkade"", ""summary"": null}",6108 Thunderbird Boulevard,False,True,False,False,False,False,N/A,False,12:00 AM - 11:59 PM,,2182,5639,"{""value"": ""POINT (-123.24333040166 49.260775213746)"", ""geo_type"": ""Point"", ""lat"": 49.260775213746, ""lon"": -123.24333040166, ""left"": -123.24333040166, ""top"": 49.260775213746, ""right"": -123.24333040166, ""bottom"": 49.260775213746, ""geohash"": ""c2b25x8uy604pt2b"", ""latlon"": ""49.260775213746,-123.24333040166""}",False,"{""value"": ""Near Doug Mitchell, Osborne Gyms and Tennis Centre"", ""format"": ""filtered_text"", ""processed"": ""Near Doug Mitchell, Osborne Gyms and Tennis Centre""}",$4.50/hr Max. 4 hours,Same as Day Rate,Same as Day Rate,False,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
9e85da8b-43cf-44cd-9637-25e273763fab,node--parking_location,2163,True,Botanical Gardens,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/botanical-gardens,"{""value"": ""The parking lot opens Wednesday to Sunday from 10am to 5pm"", ""format"": ""filtered_text"", ""processed"": ""The parking lot opens Wednesday to Sunday from 10am to 5pm"", ""summary"": null}",,False,True,False,False,True,False,,False,9:00 AM - 5:00 PM,,2233,5642,"{""value"": ""POINT (-123.2499664918 49.254399084749)"", ""geo_type"": ""Point"", ""lat"": 49.254399084749, ""lon"": -123.2499664918, ""left"": -123.2499664918, ""top"": 49.254399084749, ""right"": -123.2499664918, ""bottom"": 49.254399084749, ""geohash"": ""c2b25qkpetkp04rg"", ""latlon"": ""49.254399084749,-123.2499664918""}",False,"{""value"": ""Parking at Botanical Gardens"", ""format"": ""filtered_text"", ""processed"": ""Parking at Botanical Gardens""}",$2.25 per hr Max $7.00,Same as Day Rate,Closes at 5:00 pm,False,False,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
18f78ecc-f6e0-4a0b-b398-792ca5049a2f,node--parking_location,2153,True,West Parkade,2017-10-03T17:09:10+00:00,2025-07-07T16:51:05+00:00,/west-parkade,"{""value"": ""Park on level 4 for accessible parking to street access for UBC"", ""format"": ""filtered_text"", ""processed"": ""Park on level 4 for accessible parking to street access for UBC"", ""summary"": null}","2140 Lower Mall, Vancouver, BC V6T 1Z2",True,True,False,True,True,True,"6'8""                2.03m",True,6:00 AM - 6:00 PM,6:00 PM - 6:00 AM,2181,5671,"{""value"": ""POINT (-123.25560852709 49.262871570266)"", ""geo_type"": ""Point"", ""lat"": 49.262871570266, ""lon"": -123.25560852709, ""left"": -123.25560852709, ""top"": 49.262871570266, ""right"": -123.25560852709, ""bottom"": 49.262871570266, ""geohash"": ""c2b2720100v52j3k"", ""latlon"": ""49.262871570266,-123.25560852709""}",True,"{""value"": ""Near Education, Sauder School, Ponderosa Commons and Wreck Beach"", ""format"": ""filtered_text"", ""processed"": ""Near Education, Sauder School, Ponderosa Commons and Wreck Beach""}",$2.25 for 1/2 hr - Max $22 23:59,$2.25 for 1/2 hr - Max $11 23:59,$2.25 for 1/2 hr - Max $11 6AM,True,True,"{""node_type"": ""ba010908-3b09-4921-9034-edfc1a5180c2"", ""revision_uid"": ""c5a9ee33-0f3c-4c7f-86a3-eec9e569bcce"", ""uid"": ""0ffa815e-0525-4346-9905-325a7fefbd28""}"
