id,type,tid,revision_id,revision_created,status,name,description,weight,changed,field_academic_period_calendar,field_academic_period_id,field_academic_period_type,field_academic_period_year,related
0ae73509-aa90-4fd9-9511-55509e96a230,taxonomy_term--term,1449,1449,2026-03-20T04:18:55+00:00,True,2025-26 Winter Term 1 (UBC-V),,4,2026-05-13T19:58:16+00:00,UBC-V Academic Calendar,ACADEMIC_PERIOD-3-304,Winter Term 1,2025,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
26ab6a45-8e32-4896-b9cd-4d36195ad120,taxonomy_term--term,1450,1450,2026-03-20T04:18:55+00:00,True,2025-26 Winter Term 2 (UBC-V),,6,2026-05-13T19:58:16+00:00,UBC-V Academic Calendar,ACADEMIC_PERIOD-3-306,Winter Term 2,2025,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
37240167-0328-4b7e-bfc3-1ecabda42b19,taxonomy_term--term,1452,1452,2026-03-20T04:18:55+00:00,True,2026 Summer Session (UBC-V),,8,2026-05-13T19:58:16+00:00,UBC-V Academic Calendar,ACADEMIC_PERIOD-3-308,Summer Session,2026,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
fdb59287-d82e-42a5-8710-4e6c7028adb6,taxonomy_term--term,1453,1453,2026-03-20T04:19:04+00:00,True,2026-27 Winter Term 1 (UBC-V),,10,2026-05-13T19:58:16+00:00,UBC-V Academic Calendar,ACADEMIC_PERIOD-3-314,Winter Term 1,2026,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
a69ce28e-9cf5-47cc-ab2d-867cc0c82a4a,taxonomy_term--term,1454,1454,2026-03-20T04:18:55+00:00,True,2026-27 Winter Term 2 (UBC-V),,12,2026-05-13T19:58:16+00:00,UBC-V Academic Calendar,ACADEMIC_PERIOD-3-316,Winter Term 2,2026,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
571a9b00-91fa-4161-bd73-f18a17b57ee2,taxonomy_term--term,1455,1455,2026-03-20T14:49:03+00:00,True,2025-26 Winter Term 2 (UBC-O),,5,2026-05-13T19:58:16+00:00,UBC-O Academic Calendar,ACADEMIC_PERIOD-3-305,Winter Term 2,2025,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
6191bfc4-a522-433a-b7c5-5771ea715346,taxonomy_term--term,1457,1457,2026-03-20T14:49:03+00:00,True,2025-26 Winter Term 1 (UBC-O),,3,2026-05-13T19:58:16+00:00,UBC-O Academic Calendar,ACADEMIC_PERIOD-3-303,Winter Term 1,2025,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
c4d95ad9-c6de-453c-94ae-753621aea982,taxonomy_term--term,1458,1458,2026-03-20T14:49:03+00:00,True,2026-27 Winter Term 2 (UBC-O),,11,2026-05-15T16:28:06+00:00,UBC-O Academic Calendar,ACADEMIC_PERIOD-3-315,Winter Term 2,2026,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
344ca7d2-da72-440d-ae75-23091f3a41e4,taxonomy_term--term,1459,1459,2026-03-20T15:07:03+00:00,True,2026 Summer Session (UBC-O),,7,2026-05-13T19:58:16+00:00,UBC-O Academic Calendar,ACADEMIC_PERIOD-3-307,Summer Session,2026,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
68fd518d-eae4-4f34-be36-099c924b3266,taxonomy_term--term,1460,1460,2026-03-20T17:58:03+00:00,True,2026-27 Winter Term 1 (UBC-O),,9,2026-05-15T16:27:57+00:00,UBC-O Academic Calendar,ACADEMIC_PERIOD-3-313,Winter Term 1,2026,"{""vid"": ""18167872-0683-4540-972d-432ade485060"", ""parent"": [""virtual""]}"
