id,status,date,date_utc,modified,modified_utc,url,organizer,slug,website,global_id,global_id_lineage,author,phone,email
85128,publish,2026-06-30 17:09:56,0000-00-00 00:00:00,2026-06-30 17:09:56,0000-00-00 00:00:00,https://events.ubc.ca/organizer/iron-and-earth/,Iron and Earth,iron-and-earth,https://www.ironandearth.org/,events.ubc.ca?id=85128,"[""events.ubc.ca?id=85128""]",,,
84272,publish,2026-06-12 12:28:40,2026-06-12 19:28:40,2026-06-12 12:28:40,2026-06-12 19:28:40,https://events.ubc.ca/organizer/ubc-asian-canadian-and-asian-mirgration-studies/,UBC Asian Canadian and Asian Mirgration Studies,ubc-asian-canadian-and-asian-mirgration-studies,,events.ubc.ca?id=84272,"[""events.ubc.ca?id=84272""]",91,,
84271,publish,2026-06-12 12:28:40,2026-06-12 19:28:40,2026-06-12 12:28:40,2026-06-12 19:28:40,https://events.ubc.ca/organizer/ubc-centre-for-asian-canadian-research-and-engagement/,UBC Centre for Asian Canadian Research and Engagement,ubc-centre-for-asian-canadian-research-and-engagement,,events.ubc.ca?id=84271,"[""events.ubc.ca?id=84271""]",91,,
83686,publish,2026-06-01 10:57:34,0000-00-00 00:00:00,2026-06-01 10:57:34,0000-00-00 00:00:00,https://events.ubc.ca/organizer/map-bc/,MAP BC,map-bc,https://mapbc.org/,events.ubc.ca?id=83686,"[""events.ubc.ca?id=83686""]",,,
83682,publish,2026-06-01 10:51:53,0000-00-00 00:00:00,2026-06-01 10:51:53,0000-00-00 00:00:00,https://events.ubc.ca/organizer/centre-for-asian-canadian-research-and-engagement/,Centre for Asian Canadian Research and Engagement,centre-for-asian-canadian-research-and-engagement,https://acre.arts.ubc.ca/,events.ubc.ca?id=83682,"[""events.ubc.ca?id=83682""]",,6048271874,acre.info@ubc.ca
79362,publish,2026-05-10 14:13:58,0000-00-00 00:00:00,2026-05-10 14:13:58,0000-00-00 00:00:00,https://events.ubc.ca/organizer/jewish-academic-alliance-of-bc/,Jewish Academic Alliance of BC,jewish-academic-alliance-of-bc,,events.ubc.ca?id=79362,"[""events.ubc.ca?id=79362""]",,,
79175,publish,2026-05-06 17:26:10,0000-00-00 00:00:00,2026-05-06 17:26:10,0000-00-00 00:00:00,https://events.ubc.ca/organizer/ubc-research-innovation/,UBC Research + Innovation,ubc-research-innovation,https://preventamr.ubc.ca/,events.ubc.ca?id=79175,"[""events.ubc.ca?id=79175""]",,,ktvec@bcchr.ca
78818,publish,2026-04-29 13:33:19,0000-00-00 00:00:00,2026-04-29 13:33:19,0000-00-00 00:00:00,https://events.ubc.ca/organizer/equity-inclusion-office-development-and-alumni-engagement-and-the-queer-faculty-and-staff-collective/,"Equity &amp; Inclusion Office, Development and Alumni Engagement, and the Queer Faculty and Staff Collective.",equity-inclusion-office-development-and-alumni-engagement-and-the-queer-faculty-and-staff-collective,,events.ubc.ca?id=78818,"[""events.ubc.ca?id=78818""]",,,info@equity.ubc.ca
78571,publish,2026-04-23 14:36:49,0000-00-00 00:00:00,2026-04-23 14:36:49,0000-00-00 00:00:00,https://events.ubc.ca/organizer/ubc-cluster-for-advancing-the-science-of-physiologic-birth/,UBC Cluster for Advancing the Science of Physiologic Birth,ubc-cluster-for-advancing-the-science-of-physiologic-birth,https://www.scienceofbirth.ca,events.ubc.ca?id=78571,"[""events.ubc.ca?id=78571""]",,,contact@scienceofbirth.ca
78342,publish,2026-04-17 14:36:59,0000-00-00 00:00:00,2026-04-17 14:36:59,0000-00-00 00:00:00,https://events.ubc.ca/organizer/human-resources-workplace-wellbeing/,Human Resources &#8211; Workplace Wellbeing,human-resources-workplace-wellbeing,https://hr.ubc.ca/health-and-wellbeing,events.ubc.ca?id=78342,"[""events.ubc.ca?id=78342""]",,,hr.healthwellbeing@ubc.ca
78317,publish,2026-04-16 10:16:01,0000-00-00 00:00:00,2026-04-16 10:16:01,0000-00-00 00:00:00,https://events.ubc.ca/organizer/ubc-bookstore/,UBC Bookstore,ubc-bookstore,https://bookstore.ubc.ca/,events.ubc.ca?id=78317,"[""events.ubc.ca?id=78317""]",,(604) 822-2665,alissa.horn@ubc.ca
78236,publish,2026-04-15 10:25:50,0000-00-00 00:00:00,2026-04-15 10:25:50,0000-00-00 00:00:00,https://events.ubc.ca/organizer/human-early-learning-partnership/,Human Early Learning Partnership,human-early-learning-partnership,https://earlylearning.ubc.ca/,events.ubc.ca?id=78236,"[""events.ubc.ca?id=78236""]",,7788481427,astefano40@hotmail.com
77842,publish,2026-04-08 18:49:06,0000-00-00 00:00:00,2026-04-08 18:49:06,0000-00-00 00:00:00,https://events.ubc.ca/organizer/ecps-department-faculty-of-education/,"ECPS Department, Faculty of Education",ecps-department-faculty-of-education,https://ecps.educ.ubc.ca/,events.ubc.ca?id=77842,"[""events.ubc.ca?id=77842""]",,,
77788,publish,2026-04-08 11:13:56,0000-00-00 00:00:00,2026-04-08 11:13:56,0000-00-00 00:00:00,https://events.ubc.ca/organizer/mother-tree-network-society/,Mother Tree Network Society,mother-tree-network-society,,events.ubc.ca?id=77788,"[""events.ubc.ca?id=77788""]",,,
77783,publish,2026-04-08 10:49:01,0000-00-00 00:00:00,2026-04-08 10:49:01,0000-00-00 00:00:00,https://events.ubc.ca/organizer/mother-tree-project-program/,Mother Tree Project &amp; Program,mother-tree-project-program,https://mothertreeproject.org/,events.ubc.ca?id=77783,"[""events.ubc.ca?id=77783""]",,,mother.tree@ubc.ca
77409,publish,2026-03-30 17:22:14,0000-00-00 00:00:00,2026-03-30 17:22:14,0000-00-00 00:00:00,https://events.ubc.ca/organizer/vancouver-writers-fest/,Vancouver Writers Fest,vancouver-writers-fest,https://writersfest.bc.ca/,events.ubc.ca?id=77409,"[""events.ubc.ca?id=77409""]",,604-681-6330,info@writersfest.bc.ca
77010,publish,2026-03-23 09:48:45,2026-03-23 16:48:45,2026-03-23 09:48:45,2026-03-23 16:48:45,https://events.ubc.ca/organizer/ubc-soccer-world-cup/,UBC Soccer World Cup,ubc-soccer-world-cup,https://soccerworldcup.org/ubc-swc,events.ubc.ca?id=77010,"[""events.ubc.ca?id=77010""]",90,+1 (236) 869-2642,ubcswc@gmail.com
76633,publish,2026-03-15 16:25:03,0000-00-00 00:00:00,2026-03-15 16:25:03,0000-00-00 00:00:00,https://events.ubc.ca/organizer/ubc-comedy-club/,UBC Comedy CLub,ubc-comedy-club,https://www.instagram.com/ubccomedyclub/,events.ubc.ca?id=76633,"[""events.ubc.ca?id=76633""]",,7786821326,ubcstandupcomedyclub@gmail.com
76616,publish,2026-03-15 10:09:01,0000-00-00 00:00:00,2026-03-15 10:09:01,0000-00-00 00:00:00,https://events.ubc.ca/organizer/climate-justice-ubc/,Climate Justice UBC,climate-justice-ubc,https://www.climatejusticeubc.org/,events.ubc.ca?id=76616,"[""events.ubc.ca?id=76616""]",,,climatejusticeubc@gmail.com
76406,publish,2026-03-10 12:28:01,0000-00-00 00:00:00,2026-03-10 12:28:01,0000-00-00 00:00:00,https://events.ubc.ca/organizer/girls-in-steam/,Girls in STEAM,girls-in-steam,https://girlsinsteam.org/,events.ubc.ca?id=76406,"[""events.ubc.ca?id=76406""]",,,ubc.logistics@girlsinsteam.org
76265,publish,2026-03-08 16:39:56,0000-00-00 00:00:00,2026-03-08 16:39:56,0000-00-00 00:00:00,https://events.ubc.ca/organizer/climate-studies-and-action-certificate-program/,Climate Studies and Action Certificate Program,climate-studies-and-action-certificate-program,,events.ubc.ca?id=76265,"[""events.ubc.ca?id=76265""]",,,stevenmt@student.ubc.ca
76184,publish,2026-03-06 15:19:51,0000-00-00 00:00:00,2026-03-06 15:19:51,0000-00-00 00:00:00,https://events.ubc.ca/organizer/black-faculty-network-ubc-black-caucus-the-equity-inclusion-office-and-the-office-of-the-provost/,"Black Faculty Network, UBC Black Caucus, the Equity &amp; Inclusion Office, and the Office of the Provost",black-faculty-network-ubc-black-caucus-the-equity-inclusion-office-and-the-office-of-the-provost,,events.ubc.ca?id=76184,"[""events.ubc.ca?id=76184""]",,,
75487,publish,2026-02-20 10:12:22,0000-00-00 00:00:00,2026-02-20 10:12:22,0000-00-00 00:00:00,https://events.ubc.ca/organizer/equip-health-care/,EQUIP Health Care,equip-health-care,https://equiphealthcare.ca/,events.ubc.ca?id=75487,"[""events.ubc.ca?id=75487""]",,,
75482,publish,2026-02-20 09:51:31,0000-00-00 00:00:00,2026-02-20 09:51:31,0000-00-00 00:00:00,https://events.ubc.ca/organizer/equip-health-care/,EQUIP Health Care,equip-health-care,https://equiphealthcare.ca/,events.ubc.ca?id=75482,"[""events.ubc.ca?id=75482""]",,1-604-822-3183,equip.healthcare@ubc.ca
75429,publish,2026-02-19 13:40:51,2026-02-19 21:40:51,2026-02-19 13:40:51,2026-02-19 21:40:51,https://events.ubc.ca/organizer/faculty-of-medicine-graduate-postdoctoral-education/,Faculty of Medicine &#8211; Graduate &amp; Postdoctoral Education,faculty-of-medicine-graduate-postdoctoral-education,https://grad-postdoc.med.ubc.ca/,events.ubc.ca?id=75429,"[""events.ubc.ca?id=75429""]",71,,med.gradpostdoc@ubc.ca
75090,publish,2026-02-11 19:13:06,0000-00-00 00:00:00,2026-02-11 19:13:06,0000-00-00 00:00:00,https://events.ubc.ca/organizer/ubc-dance-club/,UBC Dance Club,ubc-dance-club,https://ubcdanceclub.com/,events.ubc.ca?id=75090,"[""events.ubc.ca?id=75090""]",,,president@ubcdanceclub.com
74658,publish,2026-02-04 15:41:28,2026-02-04 23:41:28,2026-02-04 15:41:28,2026-02-04 23:41:28,https://events.ubc.ca/organizer/gynecologic-cancer-initiative/,Gynecologic Cancer Initiative,gynecologic-cancer-initiative,https://gynecancerinitiative.ca,events.ubc.ca?id=74658,"[""events.ubc.ca?id=74658""]",71,,julianne.mcleod@ubc.ca
