id,author,status,date,date_utc,modified,modified_utc,url,venue,slug,address,city,country,province,zip,website,stateprovince,show_map,show_map_link,global_id,global_id_lineage,phone
79166,79,publish,2026-05-06 16:46:53,2026-05-06 23:46:53,2026-05-06 16:46:53,2026-05-06 23:46:53,https://events.ubc.ca/venue/bc-childrens-hospital-research-institute/,BC Children&#8217;s Hospital Research Institute,bc-childrens-hospital-research-institute,938 W 28th Avenue,Vancouver,Canada,British Columbia,V5Z 4H4,https://www.bcchr.ca/,British Columbia,True,True,events.ubc.ca?id=79166,"[""events.ubc.ca?id=79166""]",
78775,79,publish,2026-04-28 14:27:30,2026-04-28 21:27:30,2026-04-28 14:27:30,2026-04-28 21:27:30,https://events.ubc.ca/venue/gateway-health-building/,Gateway Health Building,gateway-health-building,5955 University Blvd,Vancouver,Canada,BC,V6T 1Z3,,BC,True,True,events.ubc.ca?id=78775,"[""events.ubc.ca?id=78775""]",
75338,90,publish,2026-02-18 07:40:51,2026-02-18 15:40:51,2026-02-18 07:40:51,2026-02-18 15:40:51,https://events.ubc.ca/venue/gordon-leslie-diamond-health-care-centre/,Gordon &#038; Leslie Diamond Health Care Centre,gordon-leslie-diamond-health-care-centre,2775 Laurel St,Vancouver,Canada,British Columbia,V5Z 1M9,,British Columbia,True,True,events.ubc.ca?id=75338,"[""events.ubc.ca?id=75338""]",(604) 875-4111
75191,79,publish,2026-02-13 12:34:24,2026-02-13 20:34:24,2026-02-13 12:34:24,2026-02-13 20:34:24,https://events.ubc.ca/venue/place-vanier-ballroom/,Place Vanier Ballroom,place-vanier-ballroom,1935 Lower Mall,Vancouver,Canada,BC,V6T 1X1,,BC,True,True,events.ubc.ca?id=75191,"[""events.ubc.ca?id=75191""]",
74766,90,publish,2026-02-06 10:40:58,2026-02-06 18:40:58,2026-02-06 10:40:58,2026-02-06 18:40:58,https://events.ubc.ca/venue/fairmont-pacific-rim/,Fairmont Pacific Rim,fairmont-pacific-rim,1038 Canada Pl,Vancouver,Canada,British Columbia,V6C0B9,,British Columbia,True,True,events.ubc.ca?id=74766,"[""events.ubc.ca?id=74766""]",
70597,90,publish,2025-10-29 11:06:24,2025-10-29 18:06:24,2025-10-29 11:17:46,2025-10-29 18:17:46,https://events.ubc.ca/venue/black-student-space/,Black Student Space,black-student-space,5960 Student Union Boulevard,Vancouver,Canada,British Columbia,V6T 1Z1,https://students.ubc.ca/about-student-services/black-student-space/,British Columbia,True,True,events.ubc.ca?id=70597,"[""events.ubc.ca?id=70597""]",
64125,88,publish,2025-04-30 15:19:00,2025-04-30 22:19:00,2025-04-30 15:19:00,2025-04-30 22:19:00,https://events.ubc.ca/venue/university-boulevard/,University Boulevard,university-boulevard,6015 University Boulevard,Vancouver,,BC,,,BC,True,True,events.ubc.ca?id=64125,"[""events.ubc.ca?id=64125""]",
64087,4,publish,2025-04-29 09:22:29,2025-04-29 16:22:29,2025-04-29 09:22:29,2025-04-29 16:22:29,https://events.ubc.ca/venue/money-and-raymond-m-c-lee-square/,Money and Raymond M.C. Lee Square,money-and-raymond-m-c-lee-square,6163 University Blvd,Vancouver,Canada,British Columbia,,,British Columbia,True,True,events.ubc.ca?id=64087,"[""events.ubc.ca?id=64087""]",
63158,88,publish,2025-03-26 14:14:02,2025-03-26 21:14:02,2025-03-26 14:14:02,2025-03-26 21:14:02,https://events.ubc.ca/venue/school-of-biomedical-engineering/,School of Biomedical Engineering,school-of-biomedical-engineering,6088 University Blvd,Vancouver,Canada,British Columbia,,,British Columbia,True,True,events.ubc.ca?id=63158,"[""events.ubc.ca?id=63158""]",
60318,88,publish,2025-01-07 09:45:01,2025-01-07 17:45:01,2025-01-07 09:45:01,2025-01-07 17:45:01,https://events.ubc.ca/venue/applied-sciences-third-space/,Applied Sciences Third Space,applied-sciences-third-space,2332 Main Mall,Vancouver,Canada,BC,V6T 1Z4,,BC,False,False,events.ubc.ca?id=60318,"[""events.ubc.ca?id=60318""]",
58701,88,publish,2024-11-12 12:31:30,2024-11-12 20:31:30,2024-11-12 12:31:30,2024-11-12 20:31:30,https://events.ubc.ca/venue/sage-at-the-university-centre/,Sage at The University Centre,sage-at-the-university-centre,6331 Crescent Road,Vancouver,Canada,BC,V6T 1Z2,,BC,False,False,events.ubc.ca?id=58701,"[""events.ubc.ca?id=58701""]",
57821,88,publish,2024-10-21 11:47:09,2024-10-21 18:47:09,2024-10-21 11:47:09,2024-10-21 18:47:09,https://events.ubc.ca/venue/viff-theatre/,VIFF Theatre,viff-theatre,1181 Seymour St,Vancouver,Canada,BC,,,BC,False,False,events.ubc.ca?id=57821,"[""events.ubc.ca?id=57821""]",
57613,88,publish,2024-10-18 09:57:35,2024-10-18 16:57:35,2024-10-18 09:57:35,2024-10-18 16:57:35,https://events.ubc.ca/venue/the-norm-theatre/,The Norm Theatre,the-norm-theatre,6138 Student Union Blvd,Vancouver,,BC,,,BC,False,False,events.ubc.ca?id=57613,"[""events.ubc.ca?id=57613""]",
