campus,area_key,area,tuition_domestic,tuition_international,student_fees,lab_clinic_fees_domestic,lab_clinic_fees_international,books_supplies,custom_tuition_message,educational_total_domestic,educational_total_international
vancouver,applied_science,Applied Science (Engineering),7648.0,66200.0,1513.25,,,800.0,,9961.25,68513.25
vancouver,arts,Arts,6201.0,51530.0,1380.0,,,2200.0,,9781.0,55110.0
vancouver,commerce,Commerce (Sauder School of Business),6201.0,66678.0,1663.0,,,1700.0,,9564.0,70041.0
vancouver,computer_science,Computer Science (BSC),6201.0,53082.0,1358.0,,,2500.0,,10059.0,56940.0
vancouver,dental_hygiene,Dental Hygiene,6821.0,58390.0,1440.0,11808.0,11808.0,3904.0,,23973.0,75542.0
vancouver,dentistry,Dentistry (DMD),21219.0,92910.0,1440.0,41617.0,48898.0,2730.0,,67006.0,145978.0
vancouver,design_architecture,"Design in Architecture, Landscape Architecture and Urbanism",9993.0,51905.0,1675.0,,,4200.0,,15868.0,57780.0
vancouver,education_nitep,Education: NITEP,6201.0,,1345.0,,,2750.0,,10296.0,
vancouver,education_eleven_month,Education: Eleven-month option,13810.0,68288.0,1345.0,,,2750.0,Based on a full 60-credit course load for the 11 month program.,17905.0,72383.0
vancouver,fine_arts,Fine Arts,6201.0,51530.0,1380.0,,,1800.0,,9381.0,54710.0
vancouver,forestry_natural_resources,Forestry: Natural Resources,6201.0,53082.0,1375.0,,,1500.0,,9076.0,55957.0
vancouver,forestry_urban,Forestry: Urban Forestry,6201.0,53082.0,1375.0,,,1500.0,,9076.0,55957.0
vancouver,indigenous_land_stewardship,Indigenous Land Stewardship,6821.0,58390.0,1375.0,,,1500.0,,9696.0,61265.0
vancouver,international_economics,International Economics,9921.0,62338.0,1366.0,,,3350.0,,14637.0,67054.0
vancouver,kinesiology,Kinesiology,6201.0,53082.0,1416.0,,,2200.0,,9817.0,56698.0
vancouver,land_food_systems_applied_biology,Land and Food Systems: Applied Biology,6614.0,56621.0,1366.0,,,2000.0,,9980.0,59987.0
vancouver,land_food_systems_food_nutrition_health,"Land and Food Systems: Food, Nutrition and Health",6614.0,56621.0,1366.0,,,2000.0,,9980.0,59987.0
vancouver,land_food_systems_food_resource_economics,Land and Food Systems: Food and Resource Economics,6614.0,56621.0,1366.0,,,2000.0,,9980.0,59987.0
vancouver,land_food_systems_global_resource_systems,Land and Food Systems: Global Resource Systems,6614.0,56621.0,1366.0,,,1800.0,,9780.0,59787.0
vancouver,law,Law (JD),14517.0,48180.0,1476.0,,,1850.0,,17843.0,51506.0
vancouver,media_studies,Media Studies,8252.0,51530.0,1380.0,,,2120.0,,11752.0,55030.0
vancouver,medical_laboratory_science,Medical Laboratory Science,7854.0,67237.0,1383.0,,,600.0,,9837.0,69220.0
vancouver,medicine,Medicine (MD),21219.0,,1383.0,,,4600.0,,27202.0,
vancouver,midwifery,Midwifery,7234.0,61929.0,1325.0,,,2765.0,,11324.0,66019.0
vancouver,music,Music,7027.0,48780.0,1350.0,,,1760.0,,10137.0,51890.0
vancouver,nursing,Nursing,6201.0,,1447.0,,,3875.0,,11523.0,
vancouver,pharmaceutical_sciences,Pharmaceutical Sciences,6201.0,53082.0,1414.0,,,1600.0,,9215.0,56096.0
vancouver,pharmacy,"Pharmacy, Entry-to-Practice (PharmD)",20735.0,,2656.0,,,3200.0,,26591.0,
vancouver,science,Science,6201.0,53082.0,1358.0,,,1540.0,,9099.0,55980.0
vancouver,social_work,Social Work,6201.0,51530.0,1330.0,,,900.0,,8431.0,53760.0
vancouver,vantage_one_applied_science,Vantage One Applied Science,,70687.0,1380.5,,,1119.13,,,73186.63
vancouver,vantage_one_arts,Vantage One Arts,,67614.0,1380.0,,,1119.13,,,70113.13
vancouver,vantage_one_science,Vantage One Science,,70687.0,1358.0,,,1041.93,,,73086.93
