campus,level,page,url,section,context,table_label,kind,note
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Commerce and Business Administration
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Dental Hygiene
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Dental Medicine
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Education
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Land and Food Systems
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Law
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Medicine
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Midwifery
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Music
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Nursing
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Pharmaceutical Sciences
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),divider,Science
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Graduate Programs,"[""Program Application Fee""]",Program,divider,Commerce and Business Administration
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Graduate Programs,"[""Program Application Fee""]",Program,divider,Dentistry
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Graduate Programs,"[""Program Application Fee""]",Program,divider,Education
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Graduate Programs,"[""Program Application Fee""]",Program,divider,Landscape Architecture
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Graduate Programs,"[""Program Application Fee""]",Program,divider,Medicine
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Graduate Programs,"[""Program Application Fee""]",Program,note,1 Per department.
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),divider,Deferred examination written off-campus (per paper)1
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),note,Library extramural borrowing2 variable
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),divider,Supplemental examination written off-campus (per paper)
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),divider,Transcripts4
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),note,"1 Where examinations are permitted at a location not normally set up for UBC examinations, a Special Invigilation and Outside Examination Centre Fee is payable with the examination application."
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),note,2 Fees have been authorized for extramural borrowing. Information concerning these fees may be obtained from the UBC Library.
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),note,"3 The appeal fee is non-refundable, but if the appeal is successful, it will be applied to the student's tuition."
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Administrative and Document Fees,[],Calendar course description (per course),note,4 See Ordering a Transcript.
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,divider,Summer Session 2026
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,note,"Courses starting in May or June May 13, 2026"
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,note,"Courses starting in July or August July 8, 2026"
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,divider,Winter Session 2026/27
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,note,"Term 1 September 9, 2026"
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,note,"Term 2 January 6, 2027"
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,divider,Summer Session 2027
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,note,"Courses starting in May or June May 12, 2027"
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Payment Due Dates,[],Summer Session 2026,note,"Courses starting in July or August July 7, 2027"
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Post-baccalaureate Programs
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Dentistry
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Law
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Medicine
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Certificate Programs
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Graduate
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Applied Science
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Arts
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Commerce and Business Administration
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Education
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Forestry and Environmental Stewardship
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Land and Food Systems
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Law
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Medicine
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Science
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,* Deposit is applicable for Master of Business Administration portion only.
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,note,** Deposit is also applicable for Master of Data Science in Computational Linguistics.
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Fee assessment exceptions,[],"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees.",note,"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees."
