campus,item,variant,amount,basis
vancouver,campus_housing_single,standard,7935.0,per_academic_year
vancouver,campus_housing_single,vantage_one,9354.0,per_academic_year
vancouver,campus_housing_connected,standard,8996.0,per_academic_year
vancouver,campus_housing_connected,vantage_one,9354.0,per_academic_year
vancouver,campus_housing_shared,standard,6376.0,per_academic_year
vancouver,campus_housing_shared,vantage_one,8170.0,per_academic_year
vancouver,meal_plan,standard,7712.0,per_academic_year
vancouver,meal_plan,vantage_one,8500.0,per_academic_year
vancouver,rent,standard,2385.0,per_month
vancouver,groceries,standard,450.0,per_month
