program_id,program,degrees,url,campus,area_key,area,matched_by,tuition_domestic,tuition_international,student_fees,lab_clinic_fees_domestic,lab_clinic_fees_international,books_supplies,educational_total_domestic,educational_total_international,custom_tuition_message
149486,Ancient Mediterranean and Near Eastern Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/ancient-mediterranean-near-eastern-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
543,Anthropology,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/anthropology-vancouver/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
545,Applied Animal Biology,"[""Bachelor of Science in Applied Biology""]",https://you.ubc.ca/programs/applied-animal-biology/,vancouver,land_food_systems_applied_biology,Land and Food Systems: Applied Biology,overlap:title,6614,56621,1366,0,0,2000,9980,59987,
539,Archaeology,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/archaeology/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
549241,"Architecture, Landscape Architecture, and Urbanism","[""Bachelor of Design in Architecture, Landscape Architecture, and Urbanism""]",https://you.ubc.ca/programs/architecture-landscape-architecture-and-urbanism/,vancouver,design_architecture,"Design in Architecture, Landscape Architecture and Urbanism",exact:degree,9993,51905,1675,0,0,4200,15868,57780,
557,Art History,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/art-history/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
552362,Asian Area Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/asian-area-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
561,Asian Language and Culture,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/asian-language-culture/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
552202,Astronomy,"[""Bachelor of Science""]",https://you.ubc.ca/programs/astronomy/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
565,Atmospheric Science,"[""Bachelor of Science""]",https://you.ubc.ca/programs/atmospheric-science/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
