campus,level,page,url,section,context,table_label,divider,item,student_type,cohort_year,cohort_rule,unit,amount,amount_text,column
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),,Applicants who are Canadian citizens or Permanent Residents of Canada,,,,,78.5,$78.50,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),,UBC students who are applying for re-admission and/or change of faculty,,,,,78.5,$78.50,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),,"Applicants who will be studying on a Study Permit (e.g., non-Canadian citizens and non-Permanent Residents) and presenting transcripts from institutions within or outside of BC",,,,,173.25,$173.25,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Commerce and Business Administration,B.Com. Personal Profile,,,,,97.25,$97.25,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Dental Hygiene,Dental Hygiene Degree Completion,,,,,267,$267.00,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Dental Hygiene,Dental Hygiene Supplemental Application,,,,,135.25,$135.25,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Dental Medicine,Bachelor of Dental Science Degree in Dental Hygiene Applicants' Reviewing Fee,,,,,520,$520.00,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Dental Medicine,Dental Medicine (DMD) Application Fee,,,,,272.25,$272.25,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Dental Medicine,Dental Medicine (D.M.D.) Applicants' Reviewing Fee,,,,,520,$520.00,
vancouver,,Application and Administrative Fees,https://vancouver.calendar.ubc.ca/fees/application-and-administrative-fees,Undergraduate and Post-baccalaureate Programs,"[""Undergraduate Admissions application processing fees (Enrolment Services)""]",Undergraduate Admissions application processing fees (Enrolment Services),Dental Medicine,Dental Medicine (D.M.D.) Interview Fee,,,,,156,$156.00,
