campus,level,page,url,section,context,table_label,divider,item,student_type,cohort_year,cohort_rule,unit,amount,amount_text,column,program,applies_to,annual_at_30_credits
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate Dechinta Community and Land-Based Research1,domestic,,,per_credit,206.69,$206.69,Domestic per-credit rate,Undergraduate Certificate Dechinta Community and Land-Based Research,,6200.7
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate Dechinta Community and Land-Based Research1,international,2026,or_later,per_credit,1717.68,"$1,717.68",International per-credit rate (commence in 2026S or later),Undergraduate Certificate Dechinta Community and Land-Based Research,,51530.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate Dechinta Community and Land-Based Research1,international,2025,exactly,per_credit,1701.16,"$1,701.16",International per-credit rate (commence in 2025S or 2025W),Undergraduate Certificate Dechinta Community and Land-Based Research,,51034.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate Dechinta Community and Land-Based Research1,international,2024,or_earlier,per_credit,1668.76,"$1,668.76",International per-credit rate (commence in 2024W or earlier),Undergraduate Certificate Dechinta Community and Land-Based Research,,50062.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Adult Learning and Education2,domestic,,,per_credit,206.69,$206.69,Domestic per-credit rate,Undergraduate Certificate in Adult Learning and Education,,6200.7
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Adult Learning and Education2,international,2026,or_later,per_credit,1769.4,"$1,769.40",International per-credit rate (commence in 2026S or later),Undergraduate Certificate in Adult Learning and Education,,53082.0
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Adult Learning and Education2,international,2025,exactly,per_credit,1752.39,"$1,752.39",International per-credit rate (commence in 2025S or 2025W),Undergraduate Certificate in Adult Learning and Education,,52571.7
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Adult Learning and Education2,international,2024,or_earlier,per_credit,1719.01,"$1,719.01",International per-credit rate (commence in 2024W or earlier),Undergraduate Certificate in Adult Learning and Education,,51570.3
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Data & Models in Political Science1,domestic,,,per_credit,206.69,$206.69,Domestic per-credit rate,Undergraduate Certificate in Data & Models in Political Science,,6200.7
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Data & Models in Political Science1,international,2026,or_later,per_credit,1717.68,"$1,717.68",International per-credit rate (commence in 2026S or later),Undergraduate Certificate in Data & Models in Political Science,,51530.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Data & Models in Political Science1,international,2025,exactly,per_credit,1701.16,"$1,701.16",International per-credit rate (commence in 2025S or 2025W),Undergraduate Certificate in Data & Models in Political Science,,51034.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Data & Models in Political Science1,international,2024,or_earlier,per_credit,1668.76,"$1,668.76",International per-credit rate (commence in 2024W or earlier),Undergraduate Certificate in Data & Models in Political Science,,50062.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Textiles Studies2,domestic,,,per_credit,230.16,$230.16,Domestic per-credit rate,Undergraduate Certificate in Textiles Studies,,6904.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Textiles Studies2,international,2026,or_later,per_credit,1149.18,"$1,149.18",International per-credit rate (commence in 2026S or later),Undergraduate Certificate in Textiles Studies,,34475.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Textiles Studies2,international,2025,exactly,per_credit,1138.13,"$1,138.13",International per-credit rate (commence in 2025S or 2025W),Undergraduate Certificate in Textiles Studies,,34143.9
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Undergraduate Certificate in Textiles Studies2,international,2024,or_earlier,per_credit,1116.46,"$1,116.46",International per-credit rate (commence in 2024W or earlier),Undergraduate Certificate in Textiles Studies,,33493.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Climate Studies and Action1,domestic,,,per_credit,206.69,$206.69,Domestic per-credit rate,Certificate in Climate Studies and Action,,6200.7
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Climate Studies and Action1,international,2026,or_later,per_credit,1717.68,"$1,717.68",International per-credit rate (commence in 2026S or later),Certificate in Climate Studies and Action,,51530.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Climate Studies and Action1,international,2025,exactly,per_credit,1701.16,"$1,701.16",International per-credit rate (commence in 2025S or 2025W),Certificate in Climate Studies and Action,,51034.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Climate Studies and Action1,international,2024,or_earlier,per_credit,1668.76,"$1,668.76",International per-credit rate (commence in 2024W or earlier),Certificate in Climate Studies and Action,,50062.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Early Years Education2,domestic,,,per_credit,230.16,$230.16,Domestic per-credit rate,Certificate in Early Years Education,,6904.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Early Years Education2,international,2026,or_later,per_credit,1149.18,"$1,149.18",International per-credit rate (commence in 2026S or later),Certificate in Early Years Education,,34475.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Early Years Education2,international,2025,exactly,per_credit,1138.13,"$1,138.13",International per-credit rate (commence in 2025S or 2025W),Certificate in Early Years Education,,34143.9
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Early Years Education2,international,2024,or_earlier,per_credit,1116.46,"$1,116.46",International per-credit rate (commence in 2024W or earlier),Certificate in Early Years Education,,33493.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Health and Wellness2,domestic,,,per_credit,230.16,$230.16,Domestic per-credit rate,Certificate in Health and Wellness,,6904.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Health and Wellness2,international,2026,or_later,per_credit,1149.18,"$1,149.18",International per-credit rate (commence in 2026S or later),Certificate in Health and Wellness,,34475.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Health and Wellness2,international,2025,exactly,per_credit,1138.13,"$1,138.13",International per-credit rate (commence in 2025S or 2025W),Certificate in Health and Wellness,,34143.9
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Health and Wellness2,international,2024,or_earlier,per_credit,1116.46,"$1,116.46",International per-credit rate (commence in 2024W or earlier),Certificate in Health and Wellness,,33493.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Infant Development and Supported Childcare2,domestic,,,per_credit,230.16,$230.16,Domestic per-credit rate,Certificate in Infant Development and Supported Childcare,,6904.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Infant Development and Supported Childcare2,international,2026,or_later,per_credit,1149.18,"$1,149.18",International per-credit rate (commence in 2026S or later),Certificate in Infant Development and Supported Childcare,,34475.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Infant Development and Supported Childcare2,international,2025,exactly,per_credit,1138.13,"$1,138.13",International per-credit rate (commence in 2025S or 2025W),Certificate in Infant Development and Supported Childcare,,34143.9
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Infant Development and Supported Childcare2,international,2024,or_earlier,per_credit,1116.46,"$1,116.46",International per-credit rate (commence in 2024W or earlier),Certificate in Infant Development and Supported Childcare,,33493.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teaching About Visual and Material Culture2,domestic,,,per_credit,230.16,$230.16,Domestic per-credit rate,Certificate in Teaching About Visual and Material Culture,,6904.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teaching About Visual and Material Culture2,international,2026,or_later,per_credit,1149.18,"$1,149.18",International per-credit rate (commence in 2026S or later),Certificate in Teaching About Visual and Material Culture,,34475.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teaching About Visual and Material Culture2,international,2025,exactly,per_credit,1138.13,"$1,138.13",International per-credit rate (commence in 2025S or 2025W),Certificate in Teaching About Visual and Material Culture,,34143.9
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teaching About Visual and Material Culture2,international,2024,or_earlier,per_credit,1116.46,"$1,116.46",International per-credit rate (commence in 2024W or earlier),Certificate in Teaching About Visual and Material Culture,,33493.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teacher Librarianship2,domestic,,,per_credit,230.16,$230.16,Domestic per-credit rate,Certificate in Teacher Librarianship,,6904.8
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teacher Librarianship2,international,2026,or_later,per_credit,1149.18,"$1,149.18",International per-credit rate (commence in 2026S or later),Certificate in Teacher Librarianship,,34475.4
vancouver,certificate_diploma,Certificate and Diploma Programs,https://vancouver.calendar.ubc.ca/fees/tuition-fees/certificate-and-diploma-programs,,[],,,Certificate in Teacher Librarianship2,international,2025,exactly,per_credit,1138.13,"$1,138.13",International per-credit rate (commence in 2025S or 2025W),Certificate in Teacher Librarianship,,34143.9
