path,campus,theme,format,name,repository
off-campus/locations/csv/ubc_regional_locations.csv,off-campus,locations,csv,ubc_regional_locations,ubc-geospatial-opendata
off-campus/locations/geojson/ubc_regional_locations.geojson,off-campus,locations,geojson,ubc_regional_locations,ubc-geospatial-opendata
off-campus/locations/metadata/ubc_regional_locations.csv,off-campus,locations,csv,ubc_regional_locations,ubc-geospatial-opendata
ubcv/context/geojson/ubcv_beach.geojson,ubcv,context,geojson,ubcv_beach,ubc-geospatial-opendata
ubcv/context/geojson/ubcv_coastline.geojson,ubcv,context,geojson,ubcv_coastline,ubc-geospatial-opendata
ubcv/context/geojson/ubcv_psrp.geojson,ubcv,context,geojson,ubcv_psrp,ubc-geospatial-opendata
ubcv/context/geojson/ubcv_psrp_trail.geojson,ubcv,context,geojson,ubcv_psrp_trail,ubc-geospatial-opendata
ubcv/context/geojson/ubcv_uel.geojson,ubcv,context,geojson,ubcv_uel,ubc-geospatial-opendata
ubcv/context/geojson/ubcv_water.geojson,ubcv,context,geojson,ubcv_water,ubc-geospatial-opendata
ubcv/context/metadata/ubcv_beach.csv,ubcv,context,csv,ubcv_beach,ubc-geospatial-opendata
ubcv/context/metadata/ubcv_psrp.csv,ubcv,context,csv,ubcv_psrp,ubc-geospatial-opendata
ubcv/context/metadata/ubcv_psrp_trail.csv,ubcv,context,csv,ubcv_psrp_trail,ubc-geospatial-opendata
ubcv/context/metadata/ubcv_uel.csv,ubcv,context,csv,ubcv_uel,ubc-geospatial-opendata
ubcv/landscape/csv/ubcv_campus_trees.csv,ubcv,landscape,csv,ubcv_campus_trees,ubc-geospatial-opendata
ubcv/landscape/geojson/ubcv_campus_trees.geojson,ubcv,landscape,geojson,ubcv_campus_trees,ubc-geospatial-opendata
ubcv/landscape/geojson/ubcv_landscape_hard.geojson,ubcv,landscape,geojson,ubcv_landscape_hard,ubc-geospatial-opendata
ubcv/landscape/geojson/ubcv_landscape_soft.geojson,ubcv,landscape,geojson,ubcv_landscape_soft,ubc-geospatial-opendata
ubcv/landscape/geojson/ubcv_municipal_waterfeatures.geojson,ubcv,landscape,geojson,ubcv_municipal_waterfeatures,ubc-geospatial-opendata
ubcv/landscape/metadata/ubcv_softlandscape.csv,ubcv,landscape,csv,ubcv_softlandscape,ubc-geospatial-opendata
ubcv/landscape/metadata/ubcv_trees_fields.csv,ubcv,landscape,csv,ubcv_trees_fields,ubc-geospatial-opendata
ubcv/locations/csv/ubcv_address.csv,ubcv,locations,csv,ubcv_address,ubc-geospatial-opendata
ubcv/locations/csv/ubcv_address_mailing.csv,ubcv,locations,csv,ubcv_address_mailing,ubc-geospatial-opendata
ubcv/locations/csv/ubcv_buildings.csv,ubcv,locations,csv,ubcv_buildings,ubc-geospatial-opendata
ubcv/locations/csv/ubcv_buildings_simple.csv,ubcv,locations,csv,ubcv_buildings_simple,ubc-geospatial-opendata
ubcv/locations/csv/ubcv_poi.csv,ubcv,locations,csv,ubcv_poi,ubc-geospatial-opendata
ubcv/locations/geojson/ubcv_address.geojson,ubcv,locations,geojson,ubcv_address,ubc-geospatial-opendata
ubcv/locations/geojson/ubcv_building_entraces.geojson,ubcv,locations,geojson,ubcv_building_entraces,ubc-geospatial-opendata
ubcv/locations/geojson/ubcv_buildings.geojson,ubcv,locations,geojson,ubcv_buildings,ubc-geospatial-opendata
