BLDG_USAGE,NAME,BLDG_CODE,PRIMARY_ADDRESS,POSTAL_CODE,BLDG_UID,CONSTR_STATUS,LAT,LONG
Housing,Crescent West,CRSW,5879 Gray Avenue,V6S 0A9,VBL10219,Complete,49.253131,-123.232799
Housing,Binning Tower - Highrise,BINH,3355 Binning Road,V6S 0J1,VBL10210,Complete,49.255441,-123.231374
Operations,South Campus Warehouse,SCWH,4120 Wesbrook Mall,V6T 1W5,VBL10077,Complete,49.246256,-123.231863
Operations,Lower Mall Research Station,LMRS,2259 Lower Mall,V6T 1Z4,VBL10100,Complete,49.260553,-123.255524
Academic,Iona Building,IONA,6000 Iona Drive,V6T 1L4,VBL10292,Complete,49.270988,-123.250309
Operations,Main Substation,MSUB,2446 Health Sciences Mall,V6T 1Z3,VBL10192,Complete,49.261347,-123.24437
Operations,UBC Botanical Garden Nursery - Workshop,BON2,"3929 Wesbrook Mall, Building 1",V6T 1W5,VBL10195,Complete,49.249533,-123.234449
Operations,UBC Botanical Garden Nursery - Greenhouses,BON1,"3929 Wesbrook Mall, Building 2",V6T 1W5,VBL10196,Complete,49.249451,-123.234972
Operations,Materials Recovery Facility,MARF,6055 Nurseries Road,V6T 1W5,VBL10203,Complete,49.245784,-123.228539
Other,Telus Hub,TELS,5895 Berton Avenue,V6T 1W5,VBL10179,Complete,49.255225,-123.235473
Academic,Chemistry Physics Building A,CHPH,6221 University Boulevard,V6T 1Z1,VBL10327,Complete,49.265736,-123.251513
Housing,Academy - Highrise,ACD1,5728 Berton Avenue,V6S 0E5,VBL10183,Complete,49.255577,-123.233051
Housing,Sail - Building 1,SAL1,5983 Gray Avenue,V6S 0G8,VBL10172,Complete,49.252238,-123.235232
Housing,Pacific,PACC,5928 Birney Avenue,V6S 0B5,VBL10169,Complete,49.253278,-123.234987
Services,The Barn - Owl Child Care,BARN,2323 Main Mall,V6T 1Z4,VBL10181,Complete,49.261931,-123.251115
StudentHousing,Marine Drive Residence - 6,MAR6,"2205 Lower Mall, Building 6",V6T 1Z4,VBL10218,Complete,49.261079,-123.256063
Housing,Legacy,LGCY,6333 Larkin Drive,V6T 0A7,VBL10160,Complete,49.257463,-123.248008
Housing,Promontory,PROM,2688 West Mall,V6T 2J8,VBL10149,Complete,49.25595,-123.247569
Housing,Nine on the Park,NINE,6298 Eagles Drive,V6T 0A3,VBL10158,Complete,49.259327,-123.247034
Housing,Reflections,REFL,6279 Eagles Drive,V6T 2K7,VBL10148,Complete,49.258252,-123.246886
Parking,West Parkade,PARW,2140 Lower Mall,V6T 1Z4,VBL10284,Complete,49.262596,-123.255018
Academic,Gordon B. Shrum Building,SHRM,6088 University Boulevard,V6T 1Z3,VBL10444,Complete,49.265643,-123.247325
Housing,Somerset,SOMS,6360 Larkin Drive,V6T 2K5,VBL10147,Complete,49.256504,-123.24813
Services,Child Care Services Administration Building,CCSA,2881 Acadia Road,V6T 1S1,VBL10306,Complete,49.26093,-123.234257
Housing,Hawthorn Green,HAWT,6318 Hawthorn Lane,V6T 2J6,VBL10144,Complete,49.258174,-123.248586
Housing,Clement's Green,CLEM,6268 Eagles Drive,V6T 0A2,VBL10143,Complete,49.25822,-123.245831
StudentHousing,Fraser Hall,FRAS,2550 Wesbrook Mall,V6T 1Z3,VBL10117,Complete,49.261506,-123.240766
Housing,St. James House,STJA,5835 Hampton Place,V6T 2G2,VBL10115,Complete,49.25822,-123.237199
Housing,Sitka,SITK,5868 Agronomy Road,V6T 0B5,VBL10112,Complete,49.262882,-123.241911
Services,Cecil Green Park House,CGPH,6251 Cecil Green Park Road,V6T 1Z1,VBL10342,Complete,49.271387,-123.25769
Housing,Sage - Townhouses,SAG2,"5782 Berton Avenue, Building 1",V6S 0C1,VBL10188,Complete,49.254987,-123.233501
Housing,Sage - Highrise,SAG1,5782 Berton Avenue,V6S 0C1,VBL10187,Complete,49.255264,-123.233708
Services,International House,INTL,1783 West Mall,V6T 1Z2,VBL10371,Complete,49.2678,-123.25896
Housing,Theory,THRY,5781 Binning Avenue,V6S 0M7,VBL10455,Complete,49.251054,-123.231135
Housing,Chancellor Hall - Townhouses,CHHT,5978 Chancellor Mews,V6T 2L5,VBL10271,Complete,49.272187,-123.250355
Housing,Spirit,SPRT,3478 Wesbrook Mall,V6S 0B6,VBL10238,Complete,49.252986,-123.233615
Academic,Walter C. Koerner Library,KLIB,1958 Main Mall,V6T 1Z2,VBL10154,Complete,49.26665,-123.255125
Housing,Logan Lane,LOGN,6226 Logan Lane,V6T 2K9,VBL10226,Complete,49.258901,-123.245728
Administrative,Gateway North,GATN,2047 Wesbrook Mall,V6T 1Z1,VBL10462,UnderConstruction,49.267204,-123.246884
Academic,David Strangway Building,STRG,5950 University Boulevard,V6T 1Z3,VBL10070,Complete,49.265839,-123.246173
Housing,Verve,VERV,5855 Binning Avenue,V6S 0M8,VBL10453,Complete,49.250869,-123.231851
Housing,Journey,JOUR,6328 Larkin Drive,V6T 2K2,VBL10225,Complete,49.258036,-123.247481
Academic,Robert F. Osborne Centre - Unit 1,OSB1,"6108 Thunderbird Boulevard, Building 1",V6T 1Z3,VBL10251,Complete,49.260296,-123.24372
Academic,Robert F. Osborne Centre - Unit 2,OSB2,"6108 Thunderbird Boulevard, Building 2",V6T 1Z3,VBL10296,Complete,49.259976,-123.244315
StudentHousing,Acadia Park Residence - President's Row,APRP,5501 Presidents Row,V6T 1L5,VBL10295,Complete,49.265326,-123.238984
Academic,School of Population & Public Health,SPPH,2206 East Mall,V6T 1Z3,VBL10107,Complete,49.26424,-123.248416
Operations,Staging Environmental Research Centre,SERC,6045 Nurseries Road,V6T 1W5,VBL10123,Complete,49.245383,-123.228053
Athletics,Student Recreation Centre,SRC,6000 Student Union Boulevard,V6T 1Z1,VBL10125,Complete,49.268304,-123.248976
Other,Timothy Hall,TMHL,5950 Iona Drive,V6T 1J6,VBL10450,Complete,49.271035,-123.248723
StudentHousing,Exchange Residence,EXCH,5960 Student Union Boulevard,V6T 2C9,VBL10370,Complete,49.268567,-123.247692
StudentHousing,Green College - A South,GRN3,"6201 Cecil Green Park Road, Building 6",V6T 1Z1,VBL10415,Complete,49.270941,-123.255231
StudentHousing,Green College - B East,GRN5,"6201 Cecil Green Park Road, Building 7",V6T 1Z1,VBL10174,Complete,49.270843,-123.25601
Operations,UBC Exchange,TRAN,1985 Wesbrook Mall,V6T 2C9,VBL10354,Complete,49.267759,-123.247429
StudentHousing,Green College - Kitchen/Laundry,GRN2,"6201 Cecil Green Park Road, Building 9",V6T 1Z1,VBL10434,Complete,49.270989,-123.255578
StudentHousing,Green College - A North,GRN1,"6201 Cecil Green Park Road, Building 5",V6T 1Z1,VBL10194,Complete,49.271155,-123.255667
StudentHousing,Green College - D Coach House,GRN6,"6201 Cecil Green Park Road, Building 2",V6T 1Z1,VBL10176,Complete,49.271144,-123.256534
Services,Green College - D Commons,GRN8,"6201 Cecil Green Park Road, Building 3",V6T 1Z1,VBL10435,Complete,49.271298,-123.256687
Services,Green College - D Graham House,GRN7,"6201 Cecil Green Park Road, Building 4",V6T 1Z1,VBL10189,Complete,49.27128,-123.256266
StudentHousing,Green College - Guest House,GRN9,"6201 Cecil Green Park Road, Building 1",V6T 1Z1,VBL10180,Complete,49.27086,-123.256515
StudentHousing,Acadia Park Residence - Melfa Lane,APR1,2500 Melfa Lane,V6T 2C6,VBL10258,Complete,49.264247,-123.2371
StudentHousing,Acadia Park Residence - Montgomery Place,APR2,5501 Montgomery Place,V6T 2C8,VBL10439,Complete,49.264815,-123.238725
StudentHousing,Green College - Principal's Residence,GRN10,6205 Cecil Green Park Road,V6T 1Z1,VBL10190,Complete,49.270911,-123.256949
StudentHousing,Acadia Park Residence - Pearkes Lane,APR4,2500 Pearkes Lane,V6T 2C4,VBL10440,Complete,49.264274,-123.239427
StudentHousing,Fairview Crescent Residence - Building 1,FAR1,2600 Fairview Crescent,V6T 2B9,VBL10193,Complete,49.26332,-123.239653
StudentHousing,Acadia Park Residence - Tennis Crescent,APR5,2621 Tennis Crescent,V6T 2C1,VBL10436,Complete,49.263483,-123.237716
StudentHousing,Fairview Crescent Residence - Building 2,FAR2,2763 Fairview Crescent,V6T 2B8,VBL10198,Complete,49.263001,-123.239796
Research,Pulp and Paper Centre,PAPC,2385 East Mall,V6T 1Z4,VBL10045,Complete,49.261416,-123.247568
Commons,Brock Commons East - Tallwood House,BRCE,"6088 Walter Gage Road, Building 1",V6T 1Z1,VBL10212,Complete,49.269507,-123.251313
Commons,Brock Commons North,BRCN,6177 Walter Gage Road,V6T 1K2,VBL10423,Complete,49.269586,-123.25262
Commons,Ponderosa Commons East - Audain Art Centre/Spruce House,PCE,6398 University Boulevard,V6T 1Z4,VBL10311,Complete,49.263781,-123.25441
Commons,Ponderosa Commons North - Oak/Cedar House,PCN,6445 University Boulevard,V6T 1Z2,VBL10312,Complete,49.264092,-123.256151
Commons,Ponderosa Commons West - Arbutus/Maple House,PCW,6488 University Boulevard,V6T 1Z4,VBL10310,Complete,49.263441,-123.25562
StudentHousing,Acadia Park Residence - Yalta Place,APR6,5501 Yalta Place,V6T 1L7,VBL10438,Complete,49.26414,-123.238234
Academic,Biological Sciences Building,BIOL,6270 University Boulevard,V6T 1Z4,VBL10409,Complete,49.264469,-123.251339
Services,UBC Bookstore / NCE,BOOK,6200 University Boulevard,V6T 1Z4,VBL10065,Complete,49.264988,-123.250592
StudentHousing,Totem Park Residence - Haida/Salish House,TPR6,"2525 West Mall, Building 6",V6T 1W9,VBL10002,Complete,49.257476,-123.252622
StudentHousing,Totem Park Residence - Dene/Nootka House,TPR2,"2525 West Mall, Building 2",V6T 1W9,VBL10126,Complete,49.258715,-123.253225
StudentHousing,Totem Park Residence - Kwakiutl/Shuswap House,TPR3,"2525 West Mall, Building 3",V6T 1W9,VBL10127,Complete,49.259362,-123.252324
Athletics,Doug Mitchell Thunderbird Sports Centre,THUN,6066 Thunderbird Boulevard,V6T 1Z3,VBL10307,Complete,49.260341,-123.241931
StudentHousing,Lower Mall Precinct - Tower 2,LMP2,2145 Lower Mall,V6T 1Z4,VBL10466,UnderConstruction,49.262616,-123.256056
Services,Lower Mall Precinct - Podium Amenity,LMPP,6115 South Street,V6T 1Z4,VBL10469,UnderConstruction,49.262709,-123.256318
StudentHousing,Lower Mall Precinct - Tower 1,LMP1,6530 University Boulevard,V6T 1Z4,VBL10468,UnderConstruction,49.26294,-123.256687
StudentHousing,Lower Mall Precinct - Tower 6,LMP6,6560 University Boulevard,V6T 1Z4,VBL10465,UnderConstruction,49.262752,-123.257685
Services,Lower Mall Precinct - Old Fire Hall,LMPF,6558 University Boulevard,V6T 1Z4,VBL10139,UnderConstruction,49.262567,-123.257376
StudentHousing,Lower Mall Precinct - Tower 5,LMP5,6590 University Boulevard,V6T 1Z4,VBL10463,UnderConstruction,49.262376,-123.25809
StudentHousing,Lower Mall Precinct - Tower 4,LMP4,6575 South Street,V6T 1Z4,VBL10464,UnderConstruction,49.262147,-123.257569
StudentHousing,Lower Mall Precinct - Tower 3,LMP3,6555 South Street,V6T 1Z4,VBL10467,UnderConstruction,49.262304,-123.256659
Administrative,TEF (Technology Enterprise Facility) 3,TEF3,6190 Agronomy Road,V6T 1Z3,VBL10346,Complete,49.261156,-123.246299
Operations,Bioenergy Research and Demonstration Facility,BRDF,2337 Lower Mall,V6T 1Z4,VBL10069,Complete,49.260266,-123.254619
Operations,University Services Building,USB,2329 West Mall,V6T 1Z4,VBL10150,Complete,49.2613,-123.253785
Other,Vancouver School of Theology,VST,6015 Walter Gage Road,V6T 1Z1,VBL10302,Complete,49.270391,-123.251044
Operations,UBC Water Pump Station,PUMP,6355 University Boulevard,V6T 1Z2,VBL10420,Complete,49.264621,-123.254161
Academic,Civil and Mechanical Engineering Building,CEME,6250 Applied Science Lane,V6T 1Z4,VBL10329,Complete,49.262545,-123.248881
StudentHousing,Walter H. Gage Residence - North Tower,WGR5,"5959 Student Union Boulevard, Building 4",V6T 1K2,VBL10394,Complete,49.269841,-123.250029
StudentHousing,Walter H. Gage Residence - South Tower,WGR6,"5959 Student Union Boulevard, Building 2",V6T 1K2,VBL10395,Complete,49.2692,-123.24972
StudentHousing,Acadia Park Residence - Fairview Place,APR3,5501 Fairview Place,V6T 2E2,VBL10437,Complete,49.263269,-123.236838
StudentHousing,Acadia Park Residence - Highrise,APRH,2725 Melfa Road,V6T 1N4,VBL10260,Complete,49.26237,-123.236813
