site,file_type,url,filename,page_title,page_url,page_modified,linked_from_pages
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/2019-UBC_EWS_DES.pdf,2019-UBC_EWS_DES.pdf,Hot Water District Energy System (ADES),https://facilities.ubc.ca/infrastructure-and-systems/hot-water-district-energy-system-ades/,2025-07-02T22:16:23,2
facilities,pdf,http://www.technicalguidelines.ubc.ca/Division_26/2019_Division_26_Tech_Guidelines.pdf,2019_Division_26_Tech_Guidelines.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://planning.ubc.ca/sites/default/files/2022-06/20220616%20DP%20Resubmission%20-%20Beaty%20Biodiversity%20Centre.pdf,20220616%20DP%20Resubmission%20-%20Beaty%20Biodiversity%20Centre.pdf,Beaty Biodiversity Centre Addition,https://facilities.ubc.ca/projects/projects-on-campus/completed-projects/beaty-biodiversity-centre-addition/,2025-09-23T16:54:00,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2024/10/2024_Toilet_Campaign_Poster_11x17.pdf,2024_Toilet_Campaign_Poster_11x17.pdf,Don’t Feed the Clog Monster,https://facilities.ubc.ca/clog-monster/,2025-10-06T22:55:36,1
facilities,pdf,https://www.technicalguidelines.ubc.ca/Division_33/2023_Division_33_PDF/330130.41-2023_Cleaning_of_Sewers_UBCV_and_UBCO.pdf,330130.41-2023_Cleaning_of_Sewers_UBCV_and_UBCO.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://www.technicalguidelines.ubc.ca/Division_33/2023_Division_33_PDF/338201-2023_CCTV_Pipeline_Inspection_UBCV_and_UBCO.pdf,338201-2023_CCTV_Pipeline_Inspection_UBCV_and_UBCO.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://bog3.sites.olt.ubc.ca/files/2022/09/5_2022.09_Seismic-Resilience-Plan-Update.pdf,5_2022.09_Seismic-Resilience-Plan-Update.pdf,Seismic,https://facilities.ubc.ca/projects/seismic/,2025-07-08T17:18:25,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2020/03/8_2019.02_Seismic-Resilience-Plan.pdf,8_2019.02_Seismic-Resilience-Plan.pdf,Seismic,https://facilities.ubc.ca/projects/seismic/,2025-07-08T17:18:25,1
facilities,pdf,https://bog3.sites.olt.ubc.ca/files/2019/02/8_2019.02_Seismic-Resilience-Plan.pdf,8_2019.02_Seismic-Resilience-Plan.pdf,Seismic,https://facilities.ubc.ca/projects/seismic/,2025-07-08T17:18:25,1
facilities,pdf,https://infrastructuredevelopment.ubc.ca/wp-content/uploads/2018/08/Award_Aug-2018_ubc-undergraduate-life-sciences-teaching-lab.pdf,Award_Aug-2018_ubc-undergraduate-life-sciences-teaching-lab.pdf,Undergraduate Life Sciences Teaching Laboratories – Renewal and Expansion,https://facilities.ubc.ca/projects/projects-on-campus/completed-projects/undergraduate-life-sciences-teaching-laboratories-renewal-and-expansion/,2025-07-04T16:36:02,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/BackflowTest-Form-Fillable.pdf,BackflowTest-Form-Fillable.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/BldgTurnoverUtilInfo.pdf,BldgTurnoverUtilInfo.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/CCCProgram_Brochure.pdf,CCCProgram_Brochure.pdf,Infrastructure and Systems,https://facilities.ubc.ca/infrastructure-and-systems/,2025-10-29T20:28:54,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2024/11/CapitalProjectsUBCO_November2024.pdf,CapitalProjectsUBCO_November2024.pdf,Development process overview,https://facilities.ubc.ca/projects/ubc-capital-priorities/development-process-overview/,2025-07-03T22:42:03,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2024/11/CapitalProjectsUBCV_November2024.pdf,CapitalProjectsUBCV_November2024.pdf,Development process overview,https://facilities.ubc.ca/projects/ubc-capital-priorities/development-process-overview/,2025-07-03T22:42:03,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2026/03/Contractor-Shutdown-Request-Form.pdf,Contractor-Shutdown-Request-Form.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://planning.ubc.ca/sites/default/files/2022-06/DP05012-5%20POH%20Boards%20v5.pdf,DP05012-5%20POH%20Boards%20v5.pdf,Beaty Biodiversity Centre Addition,https://facilities.ubc.ca/projects/projects-on-campus/completed-projects/beaty-biodiversity-centre-addition/,2025-09-23T16:54:00,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Disinfect-Watermain-Breaks.pdf,Disinfect-Watermain-Breaks.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/E-waste-Recycling-Fees.pdf,E-waste-Recycling-Fees.pdf,Sustainability,https://facilities.ubc.ca/projects/sustainability/,2025-07-03T21:31:24,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/03/EMMS-Planon-Access-Request-Form-Service-Requests.pdf,EMMS-Planon-Access-Request-Form-Service-Requests.pdf,Submit a service request,https://facilities.ubc.ca/services/submit-a-service-request/,2025-10-14T17:50:05,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/04/Electrical-Energization-Request.pdf,Electrical-Energization-Request.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Enabling-Greatness-Our-Building-Operations-story-PRINT.pdf,Enabling-Greatness-Our-Building-Operations-story-PRINT.pdf,APPA Facilities Management Evaluation Program,https://facilities.ubc.ca/projects/appa-facilities-management-evaluation-program/,2025-07-03T21:49:44,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Enabling-Greatness-Our-Building-Operations-story.pdf,Enabling-Greatness-Our-Building-Operations-story.pdf,APPA Facilities Management Evaluation Program,https://facilities.ubc.ca/projects/appa-facilities-management-evaluation-program/,2025-07-03T21:49:44,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2024/06/Facilities-Service-Guide.pdf,Facilities-Service-Guide.pdf,Service delivery,https://facilities.ubc.ca/about-us/service-delivery/,2026-03-16T22:55:50,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/04/Facilities-Service-Request-Dashboard-User-Guide.pdf,Facilities-Service-Request-Dashboard-User-Guide.pdf,Facilities Service Request Dashboard,https://facilities.ubc.ca/services/submit-a-service-request/facilities-service-request-dashboard/,2025-07-03T15:59:10,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2021/11/Facilities-Staff-Excellence-Awards_Nomination-Form.pdf,Facilities-Staff-Excellence-Awards_Nomination-Form.pdf,Staff Excellence Awards,https://facilities.ubc.ca/news/staff-excellence-awards/,2026-07-09T22:12:18,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2023/09/Facilities_OrganizationChart.pdf,Facilities_OrganizationChart.pdf,Leadership,https://facilities.ubc.ca/about-us/leadership/,2026-06-19T23:31:26,1
facilities,pdf,https://equity3.sites.olt.ubc.ca/files/2024/11/Final-Report-on-Inclusive-Washrooms-at-UBC_2024.Final_.F.pdf,Final-Report-on-Inclusive-Washrooms-at-UBC_2024.Final_.F.pdf,Inclusive washroom guidelines,https://facilities.ubc.ca/policies-guidelines/inclusive-washroom-guidelines/,2026-02-06T21:23:19,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Green-Cleaning-Program.pdf,Green-Cleaning-Program.pdf,Green cleaning,https://facilities.ubc.ca/projects/green-cleaning/,2025-07-03T21:50:31,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/04/Internal-Communications-Requestor-Job-Aid.pdf,Internal-Communications-Requestor-Job-Aid.pdf,Facilities Service Request Dashboard,https://facilities.ubc.ca/services/submit-a-service-request/facilities-service-request-dashboard/,2025-07-03T15:59:10,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/IrrigChamberServConnApp.pdf,IrrigChamberServConnApp.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2024/01/PSG_Project-Charter_Dec2017.pdf,PSG_Project-Charter_Dec2017.pdf,Project management,https://facilities.ubc.ca/services/project-management-services/,2025-07-03T17:49:15,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/PrelimServConnApp.pdf,PrelimServConnApp.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
