id,date,date_gmt,guid,modified,modified_gmt,slug,status,type,link,title,content,excerpt,author,featured_media,parent,menu_order,comment_status,ping_status,template,meta,class_list,acf,_links
3455,2026-07-14T13:53:28,2026-07-14T20:53:28,"{""rendered"": ""https://pair.ubc.ca/?page_id=3455""}",2026-07-16T09:46:37,2026-07-16T16:46:37,course-section-schedule-heatmaps,publish,page,https://pair.ubc.ca/student-data-analytics/enrolment/course-section-schedule-heatmaps/,"{""rendered"": ""Course Section Schedule Heatmaps""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,34,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3455"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3455"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3455""}], ""version-history"": [{""count"": 4, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3455/revisions""}], ""predecessor-version"": [{""id"": 3462, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3455/revisions/3462""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/34""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3455""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3344,2026-04-28T15:48:26,2026-04-28T22:48:26,"{""rendered"": ""https://pair.ubc.ca/?page_id=3344""}",2026-05-26T14:59:49,2026-05-26T21:59:49,target-submission,publish,page,https://pair.ubc.ca/student-data-analytics/admissions-enrolment-planning/target-submission/,"{""rendered"": ""Target Submission""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,30,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3344"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3344"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3344""}], ""version-history"": [{""count"": 7, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3344/revisions""}], ""predecessor-version"": [{""id"": 3376, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3344/revisions/3376""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/30""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3344""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3341,2026-04-28T15:44:59,2026-04-28T22:44:59,"{""rendered"": ""https://pair.ubc.ca/?page_id=3341""}",2026-06-08T12:02:23,2026-06-08T19:02:23,enrolment-planning,publish,page,https://pair.ubc.ca/student-data-analytics/admissions-enrolment-planning/enrolment-planning/,"{""rendered"": ""Enrolment Planning""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,30,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3341"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3341"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3341""}], ""version-history"": [{""count"": 5, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3341/revisions""}], ""predecessor-version"": [{""id"": 3406, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3341/revisions/3406""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/30""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3341""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3338,2026-04-28T15:40:39,2026-04-28T22:40:39,"{""rendered"": ""https://pair.ubc.ca/?page_id=3338""}",2026-06-08T12:02:05,2026-06-08T19:02:05,admissions-funnel,publish,page,https://pair.ubc.ca/student-data-analytics/admissions-enrolment-planning/admissions-funnel/,"{""rendered"": ""Admissions Funnel""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,30,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3338"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3338"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3338""}], ""version-history"": [{""count"": 6, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3338/revisions""}], ""predecessor-version"": [{""id"": 3405, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3338/revisions/3405""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/30""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3338""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3230,2026-01-27T15:27:14,2026-01-27T23:27:14,"{""rendered"": ""https://pair.ubc.ca/?page_id=3230""}",2026-06-03T16:02:41,2026-06-03T23:02:41,nsse,publish,page,https://pair.ubc.ca/nsse/,"{""rendered"": ""National Survey of Student Engagement""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,0,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3230"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3230"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3230""}], ""version-history"": [{""count"": 36, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3230/revisions""}], ""predecessor-version"": [{""id"": 3399, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3230/revisions/3399""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3230""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3167,2025-08-27T13:37:35,2025-08-27T20:37:35,"{""rendered"": ""https://pair.ubc.ca/?page_id=3167""}",2026-06-08T12:02:41,2026-06-08T19:02:41,weekly-enrolment,publish,page,https://pair.ubc.ca/student-data-analytics/admissions-enrolment-planning/weekly-enrolment/,"{""rendered"": ""Weekly Enrolment""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,30,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3167"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3167"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3167""}], ""version-history"": [{""count"": 7, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3167/revisions""}], ""predecessor-version"": [{""id"": 3407, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3167/revisions/3407""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/30""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3167""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3158,2025-08-25T13:49:51,2025-08-25T20:49:51,"{""rendered"": ""https://pair.ubc.ca/?page_id=3158""}",2026-08-07T15:56:57,2026-08-07T22:56:57,sdc,publish,page,https://pair.ubc.ca/sdc/,"{""rendered"": ""Student Diversity Census""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,0,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3158"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3158"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3158""}], ""version-history"": [{""count"": 14, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3158/revisions""}], ""predecessor-version"": [{""id"": 3516, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3158/revisions/3516""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3158""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3148,2025-08-21T15:45:49,2025-08-21T22:45:49,"{""rendered"": ""https://pair.ubc.ca/?page_id=3148""}",2025-08-21T15:55:01,2025-08-21T22:55:01,ues,publish,page,https://pair.ubc.ca/ues/,"{""rendered"": ""Undergraduate Experience Survey""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,0,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3148"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3148"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3148""}], ""version-history"": [{""count"": 1, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3148/revisions""}], ""predecessor-version"": [{""id"": 3149, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3148/revisions/3149""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3148""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3129,2025-08-19T15:32:21,2025-08-19T22:32:21,"{""rendered"": ""https://pair.ubc.ca/?page_id=3129""}",2026-07-30T09:42:11,2026-07-30T16:42:11,nubc,publish,page,https://pair.ubc.ca/nubc/,"{""rendered"": ""New to UBC Survey""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,0,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3129"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3129"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3129""}], ""version-history"": [{""count"": 43, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3129/revisions""}], ""predecessor-version"": [{""id"": 3486, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3129/revisions/3486""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3129""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3064,2025-03-28T09:57:55,2025-03-28T16:57:55,"{""rendered"": ""https://pair.ubc.ca/?page_id=3064""}",2026-02-06T09:08:34,2026-02-06T17:08:34,student-diversity-census,publish,page,https://pair.ubc.ca/student-data-analytics/demographics/student-diversity-census/,"{""rendered"": ""Student Diversity Census""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,32,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3064"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3064"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3064""}], ""version-history"": [{""count"": 5, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3064/revisions""}], ""predecessor-version"": [{""id"": 3249, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3064/revisions/3249""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/32""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3064""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
3025,2025-03-13T15:02:28,2025-03-13T22:02:28,"{""rendered"": ""https://pair.ubc.ca/?page_id=3025""}",2026-06-11T14:42:01,2026-06-11T21:42:01,nsse,publish,page,https://pair.ubc.ca/surveys/nsse/,"{""rendered"": ""National Survey of Student Engagement""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",1553,0,12,0,closed,closed,,"{""_acf_changed"": false, ""footnotes"": """"}","[""post-3025"", ""page"", ""type-page"", ""status-publish"", ""hentry""]",[],"{""self"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3025"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages""}], ""about"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/types/page""}], ""author"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/users/1553""}], ""replies"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/comments?post=3025""}], ""version-history"": [{""count"": 10, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3025/revisions""}], ""predecessor-version"": [{""id"": 3422, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/3025/revisions/3422""}], ""up"": [{""embeddable"": true, ""href"": ""https://pair.ubc.ca/wp-json/wp/v2/pages/12""}], ""wp:attachment"": [{""href"": ""https://pair.ubc.ca/wp-json/wp/v2/media?parent=3025""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
