eid,lid,location,building_code,campus,room,capacity,state,date,start,end,minutes,collected_at
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-01,2026-08-01 11:00:00,2026-08-01 17:45:00,405,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-01,2026-08-01 17:45:00,2026-08-01 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-04,2026-08-04 08:00:00,2026-08-04 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-04,2026-08-04 17:45:00,2026-08-04 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-05,2026-08-05 08:00:00,2026-08-05 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-05,2026-08-05 17:45:00,2026-08-05 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-06,2026-08-06 08:00:00,2026-08-06 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-06,2026-08-06 17:45:00,2026-08-06 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-07,2026-08-07 08:00:00,2026-08-07 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-07,2026-08-07 17:45:00,2026-08-07 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-08,2026-08-08 11:00:00,2026-08-08 17:45:00,405,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-08,2026-08-08 17:45:00,2026-08-08 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-10,2026-08-10 08:00:00,2026-08-10 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-10,2026-08-10 17:45:00,2026-08-10 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-11,2026-08-11 08:00:00,2026-08-11 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-11,2026-08-11 17:45:00,2026-08-11 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-12,2026-08-12 08:00:00,2026-08-12 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-12,2026-08-12 17:45:00,2026-08-12 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-13,2026-08-13 08:00:00,2026-08-13 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-13,2026-08-13 17:45:00,2026-08-13 18:00:00,15,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,free,2026-08-14,2026-08-14 08:00:00,2026-08-14 17:45:00,585,2026-08-01T15:07:48Z
12019,1788,Koerner Library,KLIB,vancouver,167,8,unavailable,2026-08-14,2026-08-14 17:45:00,2026-08-14 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-01,2026-08-01 11:00:00,2026-08-01 17:45:00,405,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-01,2026-08-01 17:45:00,2026-08-01 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-04,2026-08-04 08:00:00,2026-08-04 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-04,2026-08-04 17:45:00,2026-08-04 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-05,2026-08-05 08:00:00,2026-08-05 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-05,2026-08-05 17:45:00,2026-08-05 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-06,2026-08-06 08:00:00,2026-08-06 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-06,2026-08-06 17:45:00,2026-08-06 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-07,2026-08-07 08:00:00,2026-08-07 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-07,2026-08-07 17:45:00,2026-08-07 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-08,2026-08-08 11:00:00,2026-08-08 17:45:00,405,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-08,2026-08-08 17:45:00,2026-08-08 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-10,2026-08-10 08:00:00,2026-08-10 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-10,2026-08-10 17:45:00,2026-08-10 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-11,2026-08-11 08:00:00,2026-08-11 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-11,2026-08-11 17:45:00,2026-08-11 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-12,2026-08-12 08:00:00,2026-08-12 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-12,2026-08-12 17:45:00,2026-08-12 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-13,2026-08-13 08:00:00,2026-08-13 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-13,2026-08-13 17:45:00,2026-08-13 18:00:00,15,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,free,2026-08-14,2026-08-14 08:00:00,2026-08-14 17:45:00,585,2026-08-01T15:07:48Z
12046,1788,Koerner Library,KLIB,vancouver,169,8,unavailable,2026-08-14,2026-08-14 17:45:00,2026-08-14 18:00:00,15,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-01,2026-08-01 11:00:00,2026-08-01 18:00:00,420,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-04,2026-08-04 08:00:00,2026-08-04 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-05,2026-08-05 08:00:00,2026-08-05 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-06,2026-08-06 08:00:00,2026-08-06 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-07,2026-08-07 08:00:00,2026-08-07 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-08,2026-08-08 11:00:00,2026-08-08 18:00:00,420,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-10,2026-08-10 08:00:00,2026-08-10 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-11,2026-08-11 08:00:00,2026-08-11 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-12,2026-08-12 08:00:00,2026-08-12 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-13,2026-08-13 08:00:00,2026-08-13 18:00:00,600,2026-08-01T15:07:48Z
12135,1788,Koerner Library,KLIB,vancouver,216 - Staff Classroom,35,free,2026-08-14,2026-08-14 08:00:00,2026-08-14 18:00:00,600,2026-08-01T15:07:48Z
