eid,lid,location,campus,building_code,gid,grouping,title,capacity,url,thumbnail,filter_ids,booking_selectable_time,described_by
12019,1788,Koerner Library,vancouver,KLIB,3199,Koerner Group Study Rooms,167,8,https://libcal.library.ubc.ca/space/12019,//libapps-ca.s3.amazonaws.com/customers/266/images/Koerner_167_DSC05114.jpg,"[181, 409, 553]",False,spaces_page
12046,1788,Koerner Library,vancouver,KLIB,3199,Koerner Group Study Rooms,169,8,https://libcal.library.ubc.ca/space/12046,//libapps-ca.s3.amazonaws.com/customers/266/images/Koerner_169_DSC04933.jpg,"[181, 409, 553]",False,spaces_page
12135,1788,Koerner Library,vancouver,KLIB,,Koerner Library,216 - Staff Classroom,35,https://libcal.library.ubc.ca/space/12135,,,,space_page
12136,1788,Koerner Library,vancouver,KLIB,,Koerner Library,217 - Computer Lab,20,https://libcal.library.ubc.ca/space/12136,,,,space_page
20610,1788,Koerner Library,vancouver,KLIB,3199,Koerner Group Study Rooms,151,8,https://libcal.library.ubc.ca/space/20610,https://d1qywhc7l90rsa.cloudfront.net/customers/266/images/Koerner_167_DSC05114.jpg,"[181, 409, 553]",False,spaces_page
20611,1788,Koerner Library,vancouver,KLIB,3199,Koerner Group Study Rooms,168,16,https://libcal.library.ubc.ca/space/20611,https://devgj00vx92jb.cloudfront.net/misc/3517/eq/item/2026_01_29_11_13_43.jpeg,"[181, 409, 553]",False,spaces_page
27632,1788,Koerner Library,vancouver,KLIB,,Koerner Library,113 - Staff Breakroom,30,https://libcal.library.ubc.ca/space/27632,,,,space_page
33141,1788,Koerner Library,vancouver,KLIB,,Koerner Library,341 - Level 3 Fireplace Area,75,https://libcal.library.ubc.ca/space/33141,,,,space_page
12048,1789,Woodward Library,vancouver,WLIB,3201,Woodward Library Group Study Rooms,20B,6,https://libcal.library.ubc.ca/space/12048,//libapps-ca.s3.amazonaws.com/customers/266/images/Woodward_20-B_DSC04856.jpg,"[181, 553]",False,spaces_page
12049,1789,Woodward Library,vancouver,WLIB,3201,Woodward Library Group Study Rooms,20D,6,https://libcal.library.ubc.ca/space/12049,//libapps-ca.s3.amazonaws.com/customers/266/images/Woodward_20-D_DSC05126.jpg,"[181, 408, 553]",False,spaces_page
12050,1789,Woodward Library,vancouver,WLIB,3201,Woodward Library Group Study Rooms,20C,6,https://libcal.library.ubc.ca/space/12050,//libapps-ca.s3.amazonaws.com/customers/266/images/Woodward_20-C_DSC04854.jpg,"[181, 553]",False,spaces_page
12054,1789,Woodward Library,vancouver,WLIB,3201,Woodward Library Group Study Rooms,215,6,https://libcal.library.ubc.ca/space/12054,//libapps-ca.s3.amazonaws.com/customers/266/images/Woodward_215_DSC04866.jpg,"[181, 409, 552, 553]",False,spaces_page
12055,1789,Woodward Library,vancouver,WLIB,3201,Woodward Library Group Study Rooms,217,6,https://libcal.library.ubc.ca/space/12055,//libapps-ca.s3.amazonaws.com/customers/266/images/Woodward_217_DSC04871.jpg,"[181, 409, 552, 553]",False,spaces_page
36658,1789,Woodward Library,vancouver,WLIB,3201,Woodward Library Group Study Rooms,20E,6,https://libcal.library.ubc.ca/space/36658,https://devgj00vx92jb.cloudfront.net/misc/3517/eq/item/2026_02_17_14_58_17.jpg,"[181, 553]",False,spaces_page
